echem_swv,rep,minutes_swv,E_swv,electrode_swv,current_swv,max_current_swv,echem_gc,minutes_gc,E_gc,electrode_gc,current_gc,max_current_gc,reactor
swv,58,1232.05,-0.278,i1,3.7825776e-6,3.7825776e-6,gc,1231.8833333333334,-0.203,i2,3.6322885e-9,3.6322885e-9,transfer_2
swv,5,1099.5333333333333,-0.283,i1,8.3661953e-6,8.3661953e-6,gc,1099.3666666666666,-0.399,i2,-3.0751707e-7,3.0751707e-7,transfer_2
swv,59,1234.55,-0.281,i1,3.7838968e-6,3.7838968e-6,gc,1234.3833333333334,-0.202,i2,3.6850099e-9,3.6850099e-9,transfer_2
swv,60,1237.05,-0.27,i1,3.8030262e-6,3.8030262e-6,gc,1236.8833333333334,-0.204,i2,3.6418741e-9,3.6418741e-9,transfer_2
swv,61,1239.55,-0.274,i1,3.75578e-6,3.75578e-6,gc,1239.3833333333334,-0.21,i2,3.6953947e-9,3.6953947e-9,transfer_2
swv,6,1102.0333333333333,-0.28,i1,7.9678603e-6,7.9678603e-6,gc,1101.8666666666666,-0.399,i2,-2.5729415e-7,2.5729415e-7,transfer_2
swv,7,1104.55,-0.281,i1,7.4655509e-6,7.4655509e-6,gc,1104.3666666666666,-0.399,i2,-2.2053761e-7,2.2053761e-7,transfer_2
swv,8,1107.05,-0.282,i1,7.1245208e-6,7.1245208e-6,gc,1106.8666666666666,-0.399,i2,-1.8922258e-7,1.8922258e-7,transfer_2
swv,0,1087.0333333333333,-0.284,i2,8.5714237e-6,8.5714237e-6,NA,NA,NA,NA,NA,NA,transfer_2
swv,9,1109.55,-0.278,i2,4.5667148e-6,4.5667148e-6,gc,1109.3666666666666,-0.399,i2,-1.6215802e-7,1.6215802e-7,transfer_2
swv,10,1112.05,-0.279,i2,4.418463e-6,4.418463e-6,gc,1111.8666666666666,-0.399,i2,-1.4144803e-7,1.4144803e-7,transfer_2
swv,11,1114.55,-0.297,i2,4.2093593e-6,4.2093593e-6,gc,1114.3666666666666,-0.399,i2,-1.2364009e-7,1.2364009e-7,transfer_2
swv,12,1117.05,-0.284,i2,4.0776804e-6,4.0776804e-6,gc,1116.8666666666666,-0.399,i2,-1.0858247e-7,1.0858247e-7,transfer_2
swv,13,1119.55,-0.28,i2,3.9887127e-6,3.9887127e-6,gc,1119.3666666666666,-0.399,i2,-9.4569707e-8,9.4569707e-8,transfer_2
swv,14,1122.05,-0.282,i2,3.9381684e-6,3.9381684e-6,gc,1121.8666666666666,-0.399,i2,-8.396627e-8,8.396627e-8,transfer_2
swv,15,1124.55,-0.286,i2,3.8332046e-6,3.8332046e-6,gc,1124.3666666666666,-0.399,i2,-7.4903745e-8,7.4903745e-8,transfer_2
swv,16,1127.05,-0.282,i2,3.743412e-6,3.743412e-6,gc,1126.8666666666666,-0.383,i2,-6.905244e-8,6.905244e-8,transfer_2
swv,17,1129.55,-0.296,i2,3.7052355e-6,3.7052355e-6,gc,1129.3666666666666,-0.399,i2,-5.9534596e-8,5.9534596e-8,transfer_2
swv,18,1132.05,-0.294,i2,3.6538668e-6,3.6538668e-6,gc,1131.8666666666666,-0.399,i2,-5.3682495e-8,5.3682495e-8,transfer_2
swv,1,1089.5333333333333,-0.286,i2,7.7007917e-6,7.7007917e-6,gc,1089.3666666666666,-0.398,i2,-6.3368736e-7,6.3368736e-7,transfer_2
swv,19,1134.55,-0.289,i2,3.5227647e-6,3.5227647e-6,gc,1134.3666666666666,-0.399,i2,-4.8461459e-8,4.8461459e-8,transfer_2
swv,20,1137.05,-0.284,i2,3.4763434e-6,3.4763434e-6,gc,1136.8666666666666,-0.399,i2,-4.3725301e-8,4.3725301e-8,transfer_2
swv,21,1139.55,-0.282,i2,3.4427844e-6,3.4427844e-6,gc,1139.3666666666666,-0.399,i2,-3.8926835e-8,3.8926835e-8,transfer_2
swv,22,1142.05,-0.283,i2,3.3857261e-6,3.3857261e-6,gc,1141.8666666666666,-0.399,i2,-3.4704314e-8,3.4704314e-8,transfer_2
swv,23,1144.55,-0.288,i2,3.3541467e-6,3.3541467e-6,gc,1144.3666666666666,-0.399,i2,-3.1693592e-8,3.1693592e-8,transfer_2
swv,24,1147.05,-0.291,i2,3.3083847e-6,3.3083847e-6,gc,1146.8666666666666,-0.399,i2,-2.9289163e-8,2.9289163e-8,transfer_2
swv,25,1149.55,-0.288,i2,3.2843902e-6,3.2843902e-6,gc,1149.3666666666666,-0.399,i2,-2.551957e-8,2.551957e-8,transfer_2
swv,26,1152.05,-0.295,i2,3.3065708e-6,3.3065708e-6,gc,1151.8666666666666,-0.399,i2,-2.3902771e-8,2.3902771e-8,transfer_2
swv,27,1154.55,-0.288,i2,3.2774642e-6,3.2774642e-6,gc,1154.3666666666666,-0.393,i2,-2.3992241e-8,2.3992241e-8,transfer_2
swv,28,1157.05,-0.294,i2,3.2516564e-6,3.2516564e-6,gc,1156.8666666666666,-0.399,i2,-1.9373505e-8,1.9373505e-8,transfer_2
swv,2,1092.0333333333333,-0.279,i2,6.9559851e-6,6.9559851e-6,gc,1091.8666666666666,-0.399,i2,-5.3750313e-7,5.3750313e-7,transfer_2
swv,29,1159.55,-0.301,i2,3.2237867e-6,3.2237867e-6,gc,1159.3666666666666,-0.399,i2,-1.7338133e-8,1.7338133e-8,transfer_2
swv,30,1162.05,-0.291,i2,3.1327572e-6,3.1327572e-6,gc,1161.8666666666666,-0.399,i2,-1.5227672e-8,1.5227672e-8,transfer_2
swv,31,1164.55,-0.29,i2,3.1321804e-6,3.1321804e-6,gc,1164.3666666666666,-0.399,i2,-1.4342587e-8,1.4342587e-8,transfer_2
