echem,rep,minutes,E,electrode,current,max_current,reactor
swv,70,1450.2833333333333,-0.245,i1,4.5959864e-6,4.5959864e-6,transfer_3
swv,71,1452.7833333333333,-0.253,i1,4.6203922e-6,4.6203922e-6,transfer_3
swv,72,1455.2833333333333,-0.253,i1,4.6067053e-6,4.6067053e-6,transfer_3
swv,73,1457.7833333333333,-0.257,i1,4.6023351e-6,4.6023351e-6,transfer_3
swv,74,1460.2833333333333,-0.246,i1,4.6090145e-6,4.6090145e-6,transfer_3
swv,75,1462.7833333333333,-0.249,i1,4.5976349e-6,4.5976349e-6,transfer_3
swv,76,1465.2833333333333,-0.251,i1,4.5884826e-6,4.5884826e-6,transfer_3
swv,77,1467.8,-0.249,i1,4.5645711e-6,4.5645711e-6,transfer_3
swv,78,1470.3,-0.262,i1,4.5717447e-6,4.5717447e-6,transfer_3
swv,79,1472.8,-0.25,i1,4.6125597e-6,4.6125597e-6,transfer_3
swv,8,1295.2333333333333,-0.279,i1,8.0012542e-6,8.0012542e-6,transfer_3
swv,80,1475.3,-0.246,i1,4.5781762e-6,4.5781762e-6,transfer_3
swv,81,1477.8,-0.247,i1,4.5755378e-6,4.5755378e-6,transfer_3
swv,82,1480.3,-0.251,i1,4.5766919000000004e-06,4.5766919000000004e-06,transfer_3
swv,83,1482.8,-0.244,i1,4.5555839e-6,4.5555839e-6,transfer_3
swv,84,1485.3,-0.244,i1,4.5611905e-6,4.5611905e-6,transfer_3
swv,85,1487.8,-0.248,i1,4.552533e-6,4.552533e-6,transfer_3
swv,86,1490.3,-0.244,i1,4.5607785e-6,4.5607785e-6,transfer_3
swv,87,1492.8,-0.241,i1,4.5496472e-6,4.5496472e-6,transfer_3
swv,88,1495.3,-0.255,i1,4.5214479e-6,4.5214479e-6,transfer_3
swv,89,1497.8,-0.244,i1,4.543298e-6,4.543298e-6,transfer_3
swv,9,1297.7333333333333,-0.281,i1,7.6125662e-6,7.6125662e-6,transfer_3
swv,90,1500.3,-0.255,i1,4.5204583e-6,4.5204583e-6,transfer_3
swv,91,1502.8,-0.242,i1,4.5626748e-6,4.5626748e-6,transfer_3
swv,92,1505.3,-0.249,i1,4.5404122e-6,4.5404122e-6,transfer_3
swv,93,1507.8,-0.239,i1,4.5381857e-6,4.5381857e-6,transfer_3
swv,94,1510.3,-0.245,i1,4.5112238e-6,4.5112238e-6,transfer_3
swv,95,1512.8166666666666,-0.252,i1,4.5290335e-6,4.5290335e-6,transfer_3
swv,96,1515.3166666666666,-0.234,i1,4.4991029e-6,4.4991029e-6,transfer_3
swv,97,1517.8166666666666,-0.244,i1,4.4809631e-6,4.4809631e-6,transfer_3
swv,98,1520.3166666666666,-0.243,i1,4.4948979e-6,4.4948979e-6,transfer_3
swv,99,1522.8166666666666,-0.246,i1,4.4787366e-6,4.4787366e-6,transfer_3
swv,1,1277.7333333333333,-0.279,i2,8.6384589e-6,8.6384589e-6,transfer_3
swv,10,1300.2333333333333,-0.281,i2,5.0406607e-6,5.0406607e-6,transfer_3
swv,100,1525.3166666666666,-0.318,i2,3.2030907e-6,3.2030907e-6,transfer_3
swv,11,1302.7333333333333,-0.287,i2,4.8510165e-6,4.8510165e-6,transfer_3
swv,12,1305.2333333333333,-0.288,i2,4.69724e-6,4.69724e-6,transfer_3
swv,13,1307.7333333333333,-0.282,i2,4.5574802e-6,4.5574802e-6,transfer_3
swv,14,1310.25,-0.29,i2,4.4340468e-6,4.4340468e-6,transfer_3
swv,15,1312.75,-0.297,i2,4.3351838e-6,4.3351838e-6,transfer_3
swv,16,1315.25,-0.286,i2,4.1893231e-6,4.1893231e-6,transfer_3
swv,17,1317.75,-0.28,i2,4.1623607e-6,4.1623607e-6,transfer_3
swv,18,1320.25,-0.278,i2,4.1011799e-6,4.1011799e-6,transfer_3
swv,19,1322.75,-0.294,i2,4.0248274e-6,4.0248274e-6,transfer_3
swv,2,1280.2333333333333,-0.276,i2,8.3750183e-6,8.3750183e-6,transfer_3
swv,20,1325.25,-0.287,i2,3.9648007e-6,3.9648007e-6,transfer_3
swv,21,1327.75,-0.284,i2,3.9457541e-6,3.9457541e-6,transfer_3
swv,22,1330.25,-0.291,i2,3.954659e-6,3.954659e-6,transfer_3
swv,23,1332.75,-0.291,i2,3.8448302e-6,3.8448302e-6,transfer_3
swv,24,1335.25,-0.283,i2,3.805912e-6,3.805912e-6,transfer_3
swv,25,1337.75,-0.291,i2,3.8289163e-6,3.8289163e-6,transfer_3
swv,26,1340.25,-0.294,i2,3.8050875e-6,3.8050875e-6,transfer_3
swv,27,1342.75,-0.287,i2,3.7935442e-6,3.7935442e-6,transfer_3
swv,28,1345.25,-0.281,i2,3.7276632e-6,3.7276632e-6,transfer_3
swv,29,1347.75,-0.294,i2,3.7481118e-6,3.7481118e-6,transfer_3
swv,3,1282.7333333333333,-0.28,i2,7.6301294e-6,7.6301294e-6,transfer_3
swv,30,1350.25,-0.3,i2,3.6933623e-6,3.6933623e-6,transfer_3
swv,31,1352.75,-0.284,i2,3.6788506e-6,3.6788506e-6,transfer_3
swv,32,1355.25,-0.28,i2,3.6434776e-6,3.6434776e-6,transfer_3
swv,33,1357.75,-0.294,i2,3.6354795e-6,3.6354795e-6,transfer_3
swv,34,1360.2666666666667,-0.3,i2,3.6362217e-6,3.6362217e-6,transfer_3
swv,35,1362.7666666666667,-0.308,i2,3.5795756e-6,3.5795756e-6,transfer_3
swv,36,1365.2666666666667,-0.302,i2,3.5823791e-6,3.5823791e-6,transfer_3
swv,37,1367.7666666666667,-0.29,i2,3.5135299e-6,3.5135299e-6,transfer_3
swv,38,1370.2666666666667,-0.295,i2,3.5019038e-6,3.5019038e-6,transfer_3
swv,39,1372.7666666666667,-0.292,i2,3.4868149e-6,3.4868149e-6,transfer_3
swv,4,1285.2333333333333,-0.279,i2,7.0757078e-6,7.0757078e-6,transfer_3
swv,40,1375.2666666666667,-0.298,i2,3.4729628e-6,3.4729628e-6,transfer_3
swv,41,1377.7666666666667,-0.299,i2,3.4587806e-6,3.4587806e-6,transfer_3
swv,42,1380.2666666666667,-0.28,i2,3.487145e-6,3.487145e-6,transfer_3
swv,43,1382.7666666666667,-0.303,i2,3.5376065e-6,3.5376065e-6,transfer_3
swv,44,1385.2666666666667,-0.315,i2,3.4295094e-6,3.4295094e-6,transfer_3
swv,45,1387.7666666666667,-0.294,i2,3.431076e-6,3.431076e-6,transfer_3
swv,46,1390.2666666666667,-0.285,i2,3.4788993e-6,3.4788993e-6,transfer_3
swv,47,1392.7666666666667,-0.288,i2,3.4921745e-6,3.4921745e-6,transfer_3
swv,48,1395.2666666666667,-0.289,i2,3.4980285e-6,3.4980285e-6,transfer_3
swv,49,1397.7666666666667,-0.296,i2,3.4756013e-6,3.4756013e-6,transfer_3
swv,5,1287.7333333333333,-0.282,i2,6.6515645e-6,6.6515645e-6,transfer_3
swv,50,1400.2666666666667,-0.297,i2,3.4333848e-6,3.4333848e-6,transfer_3
swv,51,1402.7666666666667,-0.282,i2,3.4243972e-6,3.4243972e-6,transfer_3
swv,52,1405.2666666666667,-0.288,i2,3.4430318e-6,3.4430318e-6,transfer_3
swv,53,1407.7666666666667,-0.306,i2,3.4219233e-6,3.4219233e-6,transfer_3
swv,54,1410.2666666666667,-0.3,i2,3.4259638e-6,3.4259638e-6,transfer_3
swv,55,1412.7666666666667,-0.291,i2,3.437425e-6,3.437425e-6,transfer_3
swv,56,1415.2666666666667,-0.286,i2,3.4422073e-6,3.4422073e-6,transfer_3
swv,57,1417.7833333333333,-0.283,i2,3.4270356e-6,3.4270356e-6,transfer_3
swv,58,1420.2833333333333,-0.283,i2,3.4276129e-6,3.4276129e-6,transfer_3
swv,59,1422.7833333333333,-0.29,i2,3.3975998e-6,3.3975998e-6,transfer_3
swv,6,1290.2333333333333,-0.281,i2,6.1104188e-6,6.1104188e-6,transfer_3
swv,60,1425.2833333333333,-0.302,i2,3.3863862e-6,3.3863862e-6,transfer_3
swv,61,1427.7833333333333,-0.285,i2,3.3860561e-6,3.3860561e-6,transfer_3
swv,62,1430.2833333333333,-0.287,i2,3.344994e-6,3.344994e-6,transfer_3
swv,63,1432.7833333333333,-0.311,i2,3.4237376e-6,3.4237376e-6,transfer_3
swv,64,1435.2833333333333,-0.303,i2,3.3150632e-6,3.3150632e-6,transfer_3
swv,65,1437.7833333333333,-0.275,i2,3.3666797e-6,3.3666797e-6,transfer_3
swv,66,1440.2833333333333,-0.29,i2,3.3551362e-6,3.3551362e-6,transfer_3
swv,67,1442.7833333333333,-0.29,i2,3.3773981e-6,3.3773981e-6,transfer_3
swv,68,1445.2833333333333,-0.287,i2,3.3380679e-6,3.3380679e-6,transfer_3
swv,69,1447.7833333333333,-0.292,i2,3.3209176e-6,3.3209176e-6,transfer_3
