measured_phenazine,strain,amount_added,added_phenazine,material,replicate,RT,Area,Channel Name,Amount,calcConc
PCA,dPHZstar,200uM,PCA,cells,3,3.178,18464,364.0nm,1.212,34.744
PCN,dPHZstar,200uM,PCA,cells,3,8.68,928,364.0nm,0.061,1.7486666666666666
PCA,dPHZstar,200uM,PCN,cells,1,3.241,176,364.0nm,0.012,0.34400000000000003
PCN,dPHZstar,200uM,PCN,cells,1,8.663,101344,364.0nm,6.685,191.63666666666666
PYO,dPHZstar,200uM,PCN,cells,1,6.013,31,313.0nm,0.001,0.02866666666666667
PCA,dPHZstar,200uM,PCN,cells,2,3.137,113,364.0nm,0.007,0.2006666666666667
PCN,dPHZstar,200uM,PCN,cells,2,8.857,95428,364.0nm,6.295,180.45666666666668
PYO,dPHZstar,200uM,PCN,cells,2,5.946,20,313.0nm,0.001,0.02866666666666667
PCA,dPHZstar,200uM,PCN,cells,3,3.064,127,364.0nm,0.008,0.22933333333333336
PCN,dPHZstar,200uM,PCN,cells,3,8.866,120549,364.0nm,7.952,227.95733333333334
PYO,dPHZstar,200uM,PCN,cells,3,6.067,26,313.0nm,0.001,0.02866666666666667
PCA,dPHZstar,200uM,PYO,cells,1,3.142,81,364.0nm,0.005,0.14333333333333334
PCN,dPHZstar,200uM,PYO,cells,1,8.692,586,364.0nm,0.039,1.118
PYO,dPHZstar,200uM,PYO,cells,1,6.002,822507,313.0nm,25.301,725.2953333333334
PCA,dPHZstar,200uM,PYO,cells,2,3.173,94,364.0nm,0.006,0.17200000000000001
PCN,dPHZstar,200uM,PYO,cells,2,8.682,603,364.0nm,0.04,1.1466666666666667
PYO,dPHZstar,200uM,PYO,cells,2,5.997,809545,313.0nm,24.902,713.8573333333334
PCA,dPHZstar,200uM,PYO,cells,3,3.392,78,364.0nm,0.005,0.14333333333333334
PCN,dPHZstar,200uM,PYO,cells,3,8.699,625,364.0nm,0.041,1.1753333333333333
PYO,dPHZstar,200uM,PYO,cells,3,6.001,763048,313.0nm,23.472,672.864
PCA,dPHZstar,50uM,PCA,cells,1,3.212,5893,364.0nm,0.387,11.094000000000001
