measured_phenazine,strain,amount_added,added_phenazine,material,replicate,RT,Area,Channel Name,Amount
PYO,dPHZstar,50uM,PCA,cells,2,5.93,25,313.0nm,0.001
PCA,dPHZstar,50uM,PCA,cells,3,3.172,3501,364.0nm,0.23
PCN,dPHZstar,50uM,PCA,cells,3,8.692,660,364.0nm,0.044
PCA,dPHZstar,50uM,PCN,cells,1,3.444,191,364.0nm,0.013
PCN,dPHZstar,50uM,PCN,cells,1,8.852,33228,364.0nm,2.192
PYO,dPHZstar,50uM,PCN,cells,1,5.963,29,313.0nm,0.001
PCA,dPHZstar,50uM,PCN,cells,2,3.442,110,364.0nm,0.007
PCN,dPHZstar,50uM,PCN,cells,2,8.853,34817,364.0nm,2.297
PYO,dPHZstar,50uM,PCN,cells,2,5.907,32,313.0nm,0.001
PCA,dPHZstar,50uM,PCN,cells,3,3.444,109,364.0nm,0.007
PCN,dPHZstar,50uM,PCN,cells,3,8.856,32346,364.0nm,2.134
PYO,dPHZstar,50uM,PCN,cells,3,6.071,27,313.0nm,0.001
PCA,dPHZstar,50uM,PYO,cells,1,2.959,114,364.0nm,0.007
PCN,dPHZstar,50uM,PYO,cells,1,8.692,1036,364.0nm,0.068
PYO,dPHZstar,50uM,PYO,cells,1,6.008,251039,313.0nm,7.722
PCA,dPHZstar,50uM,PYO,cells,2,3.014,91,364.0nm,0.006
PCN,dPHZstar,50uM,PYO,cells,2,8.687,365,364.0nm,0.024
PYO,dPHZstar,50uM,PYO,cells,2,6,307890,313.0nm,9.471
PCA,dPHZstar,50uM,PYO,cells,3,3.192,71,364.0nm,0.005
PCN,dPHZstar,50uM,PYO,cells,3,8.69,841,364.0nm,0.055
PYO,dPHZstar,50uM,PYO,cells,3,6.002,227059,313.0nm,6.984
PCA,dLys,NA,NA,agar,1,3.027,137429,364.0nm,9.021
PCN,dLys,NA,NA,agar,1,8.841,348883,364.0nm,23.013
PYO,dLys,NA,NA,agar,1,5.992,31523,313.0nm,0.97
PCA,dLys,NA,NA,agar,2,3.029,140522,364.0nm,9.224
PCN,dLys,NA,NA,agar,2,8.847,416640,364.0nm,27.482
PYO,dLys,NA,NA,agar,2,5.999,28760,313.0nm,0.885
PCA,dLys,NA,NA,agar,3,3.029,168179,364.0nm,11.04
PCN,dLys,NA,NA,agar,3,8.856,492483,364.0nm,32.485
PYO,dLys,NA,NA,agar,3,6.006,35914,313.0nm,1.105
PCA,dLys,NA,NA,cells,1,3.169,12622,364.0nm,0.829
PCN,dLys,NA,NA,cells,1,8.853,279962,364.0nm,18.467
PYO,dLys,NA,NA,cells,1,6.011,88602,313.0nm,2.725
PCA,dLys,NA,NA,cells,2,3.168,10404,364.0nm,0.683
PCN,dLys,NA,NA,cells,2,8.85,295267,364.0nm,19.476
PYO,dLys,NA,NA,cells,2,6.011,90516,313.0nm,2.784
PCA,dLys,NA,NA,cells,3,3.181,7622,364.0nm,0.5
PCN,dLys,NA,NA,cells,3,8.85,276100,364.0nm,18.212
PYO,dLys,NA,NA,cells,3,6.013,88101,313.0nm,2.71
PCA,dPel,NA,NA,agar,1,3.06,114063,364.0nm,7.487
PCN,dPel,NA,NA,agar,1,8.858,303178,364.0nm,19.998
PYO,dPel,NA,NA,agar,1,6.007,24774,313.0nm,0.762
PCA,dPel,NA,NA,agar,2,3.056,99389,364.0nm,6.524
PCN,dPel,NA,NA,agar,2,8.87,229828,364.0nm,15.16
PYO,dPel,NA,NA,agar,2,6.014,23647,313.0nm,0.727
PCA,dPel,NA,NA,agar,3,3.055,104913,364.0nm,6.887
PCN,dPel,NA,NA,agar,3,8.861,217660,364.0nm,14.357
PYO,dPel,NA,NA,agar,3,6.005,25757,313.0nm,0.792
PCA,dPel,NA,NA,cells,1,3.181,8470,364.0nm,0.556
PCN,dPel,NA,NA,cells,1,8.852,185244,364.0nm,12.219
PYO,dPel,NA,NA,cells,1,6.009,113480,313.0nm,3.491
PCA,dPel,NA,NA,cells,2,3.186,10494,364.0nm,0.689
PCN,dPel,NA,NA,cells,2,8.85,179462,364.0nm,11.838
PYO,dPel,NA,NA,cells,2,6.005,117862,313.0nm,3.625
PCA,dPel,NA,NA,cells,3,3.197,11134,364.0nm,0.731
PCN,dPel,NA,NA,cells,3,8.84,201283,364.0nm,13.277
PYO,dPel,NA,NA,cells,3,5.993,124770,313.0nm,3.838
PCA,WTpar,NA,NA,cells,1,3.234,10524,364.0nm,0.691
PCN,WTpar,NA,NA,cells,1,8.84,227724,364.0nm,15.021
PYO,WTpar,NA,NA,cells,1,5.995,86700,313.0nm,2.667
PCA,WTpar,NA,NA,cells,2,3.222,11003,364.0nm,0.722
PCN,WTpar,NA,NA,cells,2,8.851,206671,364.0nm,13.632
PYO,WTpar,NA,NA,cells,2,6.005,84758,313.0nm,2.607
PCA,WTpar,NA,NA,cells,3,3.178,5777,364.0nm,0.379
PCN,WTpar,NA,NA,cells,3,8.84,220629,364.0nm,14.553
PYO,WTpar,NA,NA,cells,3,5.995,88787,313.0nm,2.731
PCA,pBadPel,NA,NA,agar,1,3.009,116975,364.0nm,7.679
PCN,pBadPel,NA,NA,agar,1,8.853,356210,364.0nm,23.496
PYO,pBadPel,NA,NA,agar,1,6.003,20324,313.0nm,0.625
PCA,pBadPel,NA,NA,cells,1,3.07,7214,364.0nm,0.474
PCN,pBadPel,NA,NA,cells,1,8.853,240063,364.0nm,15.835
PYO,pBadPel,NA,NA,cells,1,6.001,89148,313.0nm,2.742
PCA,WTpar,NA,NA,agar,1,3.056,124641,364.0nm,8.182
PCN,WTpar,NA,NA,agar,1,8.855,393800,364.0nm,25.976
PYO,WTpar,NA,NA,agar,1,6.008,25687,313.0nm,0.79
PCA,WTpar,NA,NA,agar,2,3.043,135302,364.0nm,8.882
PCN,WTpar,NA,NA,agar,2,8.861,435638,364.0nm,28.736
PYO,WTpar,NA,NA,agar,2,6.009,27091,313.0nm,0.833
PCA,WTpar,NA,NA,agar,3,3.04,122418,364.0nm,8.036
PCN,WTpar,NA,NA,agar,3,8.854,387178,364.0nm,25.539
PYO,WTpar,NA,NA,agar,3,6.003,24705,313.0nm,0.76
PCA,WTwhit,NA,NA,agar,1,3.023,69402,364.0nm,4.556
PCN,WTwhit,NA,NA,agar,1,8.864,215002,364.0nm,14.182
PYO,WTwhit,NA,NA,agar,1,6.011,16108,313.0nm,0.495
PCA,WTwhit,NA,NA,agar,2,3.021,119815,364.0nm,7.865
PCN,WTwhit,NA,NA,agar,2,8.86,301544,364.0nm,19.89
PYO,WTwhit,NA,NA,agar,2,6.011,26065,313.0nm,0.802
PCA,WTwhit,NA,NA,agar,3,3.019,98508,364.0nm,6.466
PCN,WTwhit,NA,NA,agar,3,8.853,300502,364.0nm,19.822
PYO,WTwhit,NA,NA,agar,3,6.005,23599,313.0nm,0.726
PCA,WTwhit,NA,NA,cells,1,3.216,9964,364.0nm,0.654
PCN,WTwhit,NA,NA,cells,1,8.847,203445,364.0nm,13.42
PYO,WTwhit,NA,NA,cells,1,6.012,73463,313.0nm,2.26
PCA,WTwhit,NA,NA,cells,2,3.174,10315,364.0nm,0.677
PCN,WTwhit,NA,NA,cells,2,8.836,236161,364.0nm,15.578
PYO,WTwhit,NA,NA,cells,2,5.999,79013,313.0nm,2.43
PCA,WTwhit,NA,NA,cells,3,3.19,7213,364.0nm,0.473
PCN,WTwhit,NA,NA,cells,3,8.837,239694,364.0nm,15.811
PYO,WTwhit,NA,NA,cells,3,6,72145,313.0nm,2.219
