# This is cleaned data quantified from HPLC runs on 10/26 , 10/29 and 10/30/2018,,,,,,,,
# measured phenazine is the phenazine identified in the chromatogram, strain is the colony biofilm strain, in some cases dPHZ strains were incubated with phenazines and that is indicated by added_phenazine and amount_added,,,,,,,
# RT is retention time in the chromatogram, area is the area of the identified peak from a given absorbance (channel Name),,,,,,,,
# Amount is the predicted amount identified in the peak based off a calibration curve from standards (in uM) - samples were diluted 0.5x and need to be corrected for extraction volumes,,,,,,,,,
measured_phenazine,strain,amount_added,added_phenazine,material,replicate,RT,Area,Channel Name,Amount
PCN,dPHZstar,1uM,PCA,cells,1,8.795,82,364.0nm,0.005
PCN,dPHZstar,10uM,PCA,cells,1,8.849,38,364.0nm,0.002
PCN,dPHZstar,50uM,PCA,cells,1,8.801,37,364.0nm,0.002
PCN,dPHZstar,100uM,PCA,cells,1,8.87,47,364.0nm,0.003
PCN,dPHZstar,200uM,PCA,cells,1,8.895,115,364.0nm,0.008
PCN,dPHZstar,0.1uM,PYO,cells,1,8.845,382,364.0nm,0.025
PCN,dPHZstar,1uM,PYO,cells,1,8.88,32,364.0nm,0.002
PCN,dPHZstar,10uM,PYO,cells,1,8.762,48,364.0nm,0.003
PCN,dPHZstar,50uM,PYO,cells,1,8.768,116,364.0nm,0.008
PCN,dPHZstar,100uM,PYO,cells,1,8.875,56,364.0nm,0.004
PCN,dPHZstar,200uM,PYO,cells,1,8.803,106,364.0nm,0.007
PCN,dPHZstar,0.1uM,PYO,cells,2,8.93,35,364.0nm,0.002
PCN,dPHZstar,1uM,PYO,cells,2,8.937,60,364.0nm,0.004
PCN,dPHZstar,10uM,PYO,cells,2,8.79,59,364.0nm,0.004
PCN,dPHZstar,50uM,PYO,cells,2,8.825,110,364.0nm,0.007
PCN,dPHZstar,100uM,PYO,cells,2,8.887,112,364.0nm,0.007
PCN,dPHZstar,200uM,PYO,cells,2,8.914,95,364.0nm,0.006
PCN,dPHZstar,0.1uM,PYO,cells,3,8.932,84,364.0nm,0.006
PCN,dPHZstar,1uM,PYO,cells,3,8.947,71,364.0nm,0.005
PCN,dPHZstar,10uM,PYO,cells,3,8.819,70,364.0nm,0.005
PCN,dPHZstar,50uM,PYO,cells,3,8.782,46,364.0nm,0.003
PCN,dPHZstar,100uM,PYO,cells,3,8.836,86,364.0nm,0.006
PCN,dPHZstar,200uM,PYO,cells,3,8.937,89,364.0nm,0.006
PCN,WTpar,NA,NA,cells,1,8.84,227724,364.0nm,15.021
PCN,WTpar,NA,NA,cells,2,8.851,206671,364.0nm,13.632
PCN,WTpar,NA,NA,cells,3,8.84,220629,364.0nm,14.553
PCN,dPel,NA,NA,cells,1,8.852,185244,364.0nm,12.219
PCN,dPel,NA,NA,cells,2,8.85,179462,364.0nm,11.838
PCN,dPel,NA,NA,cells,3,8.84,201283,364.0nm,13.277
PCN,PHZstd,100nM,PHZstd,NA,NA,8.85,1332,364.0nm,0.1
PCN,PHZstd,500nM,PHZstd,NA,NA,8.843,6530,364.0nm,0.5
PCN,PHZstd,1uM,PHZstd,NA,NA,8.855,13951,364.0nm,1
PCN,PHZstd,2uM,PHZstd,NA,NA,8.844,28437,364.0nm,2
PCN,PHZstd,5uM,PHZstd,NA,NA,8.855,70562,364.0nm,5
PCN,PHZstd,10uM,PHZstd,NA,NA,8.864,141707,364.0nm,10
PCN,PHZstd,20uM,PHZstd,NA,NA,8.845,303018,364.0nm,20
PCN,PHZstd,50uM,PHZstd,NA,NA,8.853,768364,364.0nm,50
PCN,PHZstd,100uM,PHZstd,NA,NA,8.848,1512190,364.0nm,100
PCN,pBadPel,NA,NA,cells,1,8.853,240063,364.0nm,15.927
PCN,pBadPel,NA,NA,agar,1,8.853,356210,364.0nm,23.633
PCN,WTwhit,NA,NA,agar,1,8.864,215002,364.0nm,14.264
PCN,WTwhit,NA,NA,agar,2,8.86,301544,364.0nm,20.006
PCN,WTwhit,NA,NA,agar,3,8.853,300502,364.0nm,19.937
PCN,dLys,NA,NA,agar,1,8.841,348883,364.0nm,23.147
PCN,dLys,NA,NA,agar,2,8.847,416640,364.0nm,27.642
PCN,dLys,NA,NA,agar,3,8.856,492483,364.0nm,32.674
PCN,dPHZstar,0.1uM,PCN,cells,1,8.869,385,364.0nm,0.026
PCN,dPHZstar,1uM,PCN,cells,1,8.858,652,364.0nm,0.043
PCN,dPHZstar,10uM,PCN,cells,1,8.858,6130,364.0nm,0.407
PCN,dPHZstar,50uM,PCN,cells,1,8.852,33228,364.0nm,2.205
PCN,dPHZstar,100uM,PCN,cells,1,8.856,55528,364.0nm,3.684
PCN,dPHZstar,200uM,PCN,cells,1,8.859,381,364.0nm,0.025
PCN,dPHZstar,0.1uM,PCN,cells,2,8.864,200,364.0nm,0.013
PCN,dPHZstar,1uM,PCN,cells,2,8.868,649,364.0nm,0.043
PCN,dPHZstar,10uM,PCN,cells,2,8.864,6627,364.0nm,0.44
PCN,dPHZstar,50uM,PCN,cells,2,8.853,34817,364.0nm,2.31
PCN,dPHZstar,100uM,PCN,cells,2,8.861,57086,364.0nm,3.787
PCN,dPHZstar,200uM,PCN,cells,2,8.857,95428,364.0nm,6.331
PCN,dPHZstar,0.1uM,PCN,cells,3,8.856,105,364.0nm,0.007
PCN,dPHZstar,1uM,PCN,cells,3,8.853,653,364.0nm,0.043
PCN,dPHZstar,10uM,PCN,cells,3,8.837,7021,364.0nm,0.466
PCN,dPHZstar,50uM,PCN,cells,3,8.856,32346,364.0nm,2.146
PCN,dPHZstar,100uM,PCN,cells,3,8.847,61182,364.0nm,4.059
PCN,dPHZstar,200uM,PCN,cells,3,8.866,120549,364.0nm,7.998
