echem_swv,rep,minutes_swv,E_swv,electrode_swv,current_swv,max_current_swv,echem_gc,minutes_gc,E_gc,electrode_gc,current_gc,max_current_gc,reactor
swv,15,1177.2833333333333,-0.271,i2,4.2397851e-6,4.2397851e-6,gc,1177.1166666666666,-0.399,i2,-4.4274088e-8,4.4274088e-8,transfer
swv,16,1179.7833333333333,-0.267,i2,4.2412689e-6,4.2412689e-6,gc,1179.6166666666666,-0.399,i2,-3.6842735e-8,3.6842735e-8,transfer
swv,17,1182.2833333333333,-0.262,i2,4.1986405e-6,4.1986405e-6,gc,1182.1166666666666,-0.399,i2,-3.0339603e-8,3.0339603e-8,transfer
swv,18,1184.7833333333333,-0.259,i2,4.1563417e-6,4.1563417e-6,gc,1184.6166666666666,-0.399,i2,-2.5199245e-8,2.5199245e-8,transfer
swv,1,1142.2833333333333,-0.275,i2,1.0342783e-5,1.0342783e-5,gc,1142.1,-0.399,i2,-1.3270356e-6,1.3270356e-6,transfer
swv,19,1187.2833333333333,-0.248,i2,4.1335843e-6,4.1335843e-6,gc,1187.1166666666666,-0.399,i2,-2.0931989e-8,2.0931989e-8,transfer
swv,20,1189.7833333333333,-0.26,i2,4.041236e-6,4.041236e-6,gc,1189.6166666666666,-0.399,i2,-1.7964402e-8,1.7964402e-8,transfer
swv,21,1192.2833333333333,-0.26,i2,4.041071e-6,4.041071e-6,gc,1192.1166666666666,-0.399,i2,-1.5146192e-8,1.5146192e-8,transfer
swv,22,1194.7833333333333,-0.249,i2,4.009491e-6,4.009491e-6,gc,1194.6166666666666,-0.399,i2,-1.325141e-8,1.325141e-8,transfer
swv,23,1197.2833333333333,-0.248,i2,4.0592108e-6,4.0592108e-6,gc,1197.1166666666666,-0.399,i2,-1.0777487e-8,1.0777487e-8,transfer
swv,24,1199.7833333333333,-0.25,i2,4.0650648e-6,4.0650648e-6,gc,1199.6166666666666,-0.399,i2,-9.7206581e-9,9.7206581e-9,transfer
swv,25,1202.2833333333333,-0.257,i2,4.0518726e-6,4.0518726e-6,gc,1202.1166666666666,-0.399,i2,-8.5711678e-9,8.5711678e-9,transfer
swv,26,1204.8,-0.269,i2,3.9118654e-6,3.9118654e-6,gc,1204.6166666666666,-0.399,i2,-6.7051422e-9,6.7051422e-9,transfer
swv,27,1207.3,-0.252,i2,3.9511133e-6,3.9511133e-6,gc,1207.1166666666666,-0.399,i2,-5.9270988e-9,5.9270988e-9,transfer
swv,28,1209.8,-0.258,i2,4.028373e-6,4.028373e-6,gc,1209.6166666666666,-0.398,i2,-5.0468079e-9,5.0468079e-9,transfer
swv,2,1144.7833333333333,-0.275,i2,8.9714904e-6,8.9714904e-6,gc,1144.6,-0.399,i2,-9.9567876e-7,9.9567876e-7,transfer
swv,29,1212.3,-0.269,i2,3.9702427e-6,3.9702427e-6,gc,1212.1166666666666,-0.22,i2,1.5581723e-8,1.5581723e-8,transfer
swv,30,1214.8,-0.266,i2,3.9309125e-6,3.9309125e-6,gc,1214.6166666666666,-0.397,i2,-4.415746e-9,4.415746e-9,transfer
swv,31,1217.3,-0.245,i2,4.0329905e-6,4.0329905e-6,gc,1217.1166666666666,-0.399,i2,-4.0171382e-9,4.0171382e-9,transfer
swv,32,1219.8,-0.259,i2,4.0571495e-6,4.0571495e-6,gc,1219.6166666666666,-0.399,i2,-3.5761942e-9,3.5761942e-9,transfer
swv,33,1222.3,-0.242,i2,4.0681985e-6,4.0681985e-6,gc,1222.1166666666666,-0.163,i2,3.5755727e-9,3.5755727e-9,transfer
swv,34,1224.8,-0.265,i2,4.0244149e-6,4.0244149e-6,gc,1224.6166666666666,-0.153,i2,3.4900998e-9,3.4900998e-9,transfer
swv,35,1227.3,-0.245,i2,4.0977166e-6,4.0977166e-6,gc,1227.1166666666666,-0.151,i2,3.4525556e-9,3.4525556e-9,transfer
swv,36,1229.8,-0.251,i2,4.0800714e-6,4.0800714e-6,gc,1229.6166666666666,-0.398,i2,-7.9257276e-9,7.9257276e-9,transfer
swv,37,1232.3,-0.255,i2,4.0948307e-6,4.0948307e-6,gc,1232.1333333333334,-0.155,i2,3.3862542e-9,3.3862542e-9,transfer
swv,38,1234.8,-0.247,i2,4.0525319e-6,4.0525319e-6,gc,1234.6333333333334,-0.163,i2,3.4613425e-9,3.4613425e-9,transfer
swv,3,1147.2833333333333,-0.274,i2,7.8041894e-6,7.8041894e-6,gc,1147.1,-0.399,i2,-7.4289062e-7,7.4289062e-7,transfer
swv,39,1237.3,-0.244,i2,4.1090952e-6,4.1090952e-6,gc,1237.1333333333334,-0.158,i2,3.3942422e-9,3.3942422e-9,transfer
swv,40,1239.8,-0.255,i2,4.1329249e-6,4.1329249e-6,gc,1239.6333333333334,-0.152,i2,3.4893011e-9,3.4893011e-9,transfer
swv,41,1242.3,-0.258,i2,4.0886471e-6,4.0886471e-6,gc,1242.1333333333334,-0.159,i2,3.5691821e-9,3.5691821e-9,transfer
swv,42,1244.8,-0.25,i2,4.1129706e-6,4.1129706e-6,gc,1244.6333333333334,-0.198,i2,3.6067265e-9,3.6067265e-9,transfer
swv,43,1247.3,-0.254,i2,4.0330729e-6,4.0330729e-6,gc,1247.1333333333334,-0.169,i2,3.8719321e-9,3.8719321e-9,transfer
swv,44,1249.8,-0.233,i2,4.0982113e-6,4.0982113e-6,gc,1249.6333333333334,-0.176,i2,3.5811645e-9,3.5811645e-9,transfer
swv,45,1252.3,-0.247,i2,4.1231951e-6,4.1231951e-6,gc,1252.1333333333334,-0.155,i2,3.4781176e-9,3.4781176e-9,transfer
