PHZadded,molecule,reactor_from_transfer,echem_from_transfer,rep,minutes_from_transfer,E_from_maxs_from_transfer,PHZaddedInt,electrode,current_from_maxs_from_transfer,max_current_from_transfer,E_from_mins_from_transfer,current_from_mins_from_transfer,min_current_from_transfer,signal_from_transfer,min_time,norm_time,reactor_from_soak,echem_from_soak,minutes_from_soak,E_from_maxs_from_soak,current_from_maxs_from_soak,max_current_from_soak,E_from_mins_from_soak,current_from_mins_from_soak,min_current_from_soak,signal_from_soak,i0,norm_signal
100uM,PYO,transfer,SWV,3,197.5,-0.278,100,i1,2.643591e-6,2.643591e-6,-0.001,3.4686755e-7,3.4686755e-7,2.29672345e-6,197.21666666666667,0.48333333333333145,soak,SWVfast.txt,194.83333333333334,-0.278,1.2373082e-5,1.2373082e-5,0.006,2.6799205e-7,2.6799205e-7,1.2105089949999999e-5,1.2105089949999999e-5,0.1897320432550772
100uM,PYO,transfer,SWV,30,201.4,-0.289,100,i1,1.285392e-6,1.285392e-6,-0.029,3.3629692e-7,3.3629692e-7,9.4909508e-7,197.21666666666667,4.383333333333337,soak,SWVfast.txt,194.83333333333334,-0.278,1.2373082e-5,1.2373082e-5,0.006,2.6799205e-7,2.6799205e-7,1.2105089949999999e-5,1.2105089949999999e-5,0.07840462845961753
100uM,PYO,transfer,SWV,31,201.53333333333333,-0.299,100,i1,1.2547357e-6,1.2547357e-6,-0.001,3.2196641e-7,3.2196641e-7,9.3276929e-7,197.21666666666667,4.516666666666663,soak,SWVfast.txt,194.83333333333334,-0.278,1.2373082e-5,1.2373082e-5,0.006,2.6799205e-7,2.6799205e-7,1.2105089949999999e-5,1.2105089949999999e-5,0.07705595694478917
100uM,PYO,transfer,SWV,32,201.68333333333334,-0.281,100,i1,1.2423345e-6,1.2423345e-6,-0.016,3.3261949e-7,3.3261949e-7,9.0971501e-7,197.21666666666667,4.666666666666669,soak,SWVfast.txt,194.83333333333334,-0.278,1.2373082e-5,1.2373082e-5,0.006,2.6799205e-7,2.6799205e-7,1.2105089949999999e-5,1.2105089949999999e-5,0.07515144569413135
100uM,PYO,transfer,SWV,33,201.83333333333334,-0.274,100,i1,1.2439837e-6,1.2439837e-6,-0.007,3.3374084e-7,3.3374084e-7,9.1024286e-7,197.21666666666667,4.816666666666674,soak,SWVfast.txt,194.83333333333334,-0.278,1.2373082e-5,1.2373082e-5,0.006,2.6799205e-7,2.6799205e-7,1.2105089949999999e-5,1.2105089949999999e-5,0.07519505131806146
100uM,PYO,transfer,SWV,34,201.96666666666667,-0.277,100,i1,1.2501182e-6,1.2501182e-6,-0.01,3.3712149e-7,3.3712149e-7,9.129967100000001e-7,197.21666666666667,4.95,soak,SWVfast.txt,194.83333333333334,-0.278,1.2373082e-5,1.2373082e-5,0.006,2.6799205e-7,2.6799205e-7,1.2105089949999999e-5,1.2105089949999999e-5,0.0754225465296935
100uM,PYO,transfer,SWV,35,202.11666666666667,-0.287,100,i1,1.246045e-6,1.246045e-6,-0.023,3.3738533e-7,3.3738533e-7,9.0865967e-7,197.21666666666667,5.100000000000006,soak,SWVfast.txt,194.83333333333334,-0.278,1.2373082e-5,1.2373082e-5,0.006,2.6799205e-7,2.6799205e-7,1.2105089949999999e-5,1.2105089949999999e-5,0.07506426418582707
100uM,PYO,transfer,SWV,36,202.26666666666668,-0.279,100,i1,1.2461276e-6,1.2461276e-6,-0.002,3.3827584e-7,3.3827584e-7,9.078517599999999e-7,197.21666666666667,5.2500000000000115,soak,SWVfast.txt,194.83333333333334,-0.278,1.2373082e-5,1.2373082e-5,0.006,2.6799205e-7,2.6799205e-7,1.2105089949999999e-5,1.2105089949999999e-5,0.0749975228395556
100uM,PYO,transfer,SWV,37,202.4,-0.282,100,i1,1.222628e-6,1.222628e-6,-0.003,3.3438403e-7,3.3438403e-7,8.882439700000001e-7,197.21666666666667,5.383333333333337,soak,SWVfast.txt,194.83333333333334,-0.278,1.2373082e-5,1.2373082e-5,0.006,2.6799205e-7,2.6799205e-7,1.2105089949999999e-5,1.2105089949999999e-5,0.07337772570620181
100uM,PYO,transfer,SWV,38,202.55,-0.289,100,i1,1.2283668e-6,1.2283668e-6,-0.01,3.3690708e-7,3.3690708e-7,8.914597200000001e-7,197.21666666666667,5.533333333333343,soak,SWVfast.txt,194.83333333333334,-0.278,1.2373082e-5,1.2373082e-5,0.006,2.6799205e-7,2.6799205e-7,1.2105089949999999e-5,1.2105089949999999e-5,0.07364337842033138
100uM,PYO,transfer,SWV,39,202.7,-0.28,100,i1,1.2257779e-6,1.2257779e-6,0.006,3.3860567e-7,3.3860567e-7,8.8717223e-7,197.21666666666667,5.68333333333332,soak,SWVfast.txt,194.83333333333334,-0.278,1.2373082e-5,1.2373082e-5,0.006,2.6799205e-7,2.6799205e-7,1.2105089949999999e-5,1.2105089949999999e-5,0.07328918939590368
100uM,PYO,transfer,SWV,4,197.65,-0.276,100,i1,2.2090749e-6,2.2090749e-6,0.008,3.3853968e-7,3.3853968e-7,1.8705352200000002e-6,197.21666666666667,0.6333333333333371,soak,SWVfast.txt,194.83333333333334,-0.278,1.2373082e-5,1.2373082e-5,0.006,2.6799205e-7,2.6799205e-7,1.2105089949999999e-5,1.2105089949999999e-5,0.15452468570875844
100uM,PYO,transfer,SWV,40,202.83333333333334,-0.293,100,i1,1.224475e-6,1.224475e-6,0.01,3.3952915e-7,3.3952915e-7,8.849458500000001e-7,197.21666666666667,5.816666666666674,soak,SWVfast.txt,194.83333333333334,-0.278,1.2373082e-5,1.2373082e-5,0.006,2.6799205e-7,2.6799205e-7,1.2105089949999999e-5,1.2105089949999999e-5,0.07310526841644825
100uM,PYO,transfer,SWV,41,202.98333333333332,-0.286,100,i1,1.2215562e-6,1.2215562e-6,-0.029,3.3769865e-7,3.3769865e-7,8.838575500000001e-7,197.21666666666667,5.966666666666652,soak,SWVfast.txt,194.83333333333334,-0.278,1.2373082e-5,1.2373082e-5,0.006,2.6799205e-7,2.6799205e-7,1.2105089949999999e-5,1.2105089949999999e-5,0.07301536408657584
100uM,PYO,transfer,SWV,42,203.11666666666667,-0.274,100,i1,1.2109526e-6,1.2109526e-6,-0.019,3.3824284e-7,3.3824284e-7,8.7270976e-7,197.21666666666667,6.100000000000006,soak,SWVfast.txt,194.83333333333334,-0.278,1.2373082e-5,1.2373082e-5,0.006,2.6799205e-7,2.6799205e-7,1.2105089949999999e-5,1.2105089949999999e-5,0.07209444651834249
100uM,PYO,transfer,SWV,43,203.26666666666668,-0.289,100,i1,1.2132778e-6,1.2132778e-6,-0.015,3.378141e-7,3.378141e-7,8.754637000000001e-7,197.21666666666667,6.2500000000000115,soak,SWVfast.txt,194.83333333333334,-0.278,1.2373082e-5,1.2373082e-5,0.006,2.6799205e-7,2.6799205e-7,1.2105089949999999e-5,1.2105089949999999e-5,0.07232194916486351
100uM,PYO,transfer,SWV,44,203.41666666666666,-0.295,100,i1,1.2083965e-6,1.2083965e-6,0.013,3.4109576e-7,3.4109576e-7,8.6730074e-7,197.21666666666667,6.399999999999989,soak,SWVfast.txt,194.83333333333334,-0.278,1.2373082e-5,1.2373082e-5,0.006,2.6799205e-7,2.6799205e-7,1.2105089949999999e-5,1.2105089949999999e-5,0.07164760803780727
100uM,PYO,transfer,SWV,45,203.55,-0.276,100,i1,1.209287e-6,1.209287e-6,-0,3.3792952e-7,3.3792952e-7,8.713574800000001e-7,197.21666666666667,6.533333333333343,soak,SWVfast.txt,194.83333333333334,-0.278,1.2373082e-5,1.2373082e-5,0.006,2.6799205e-7,2.6799205e-7,1.2105089949999999e-5,1.2105089949999999e-5,0.07198273483296175
100uM,PYO,transfer,SWV,46,203.7,-0.29,100,i1,1.2110186e-6,1.2110186e-6,0.008,3.4040312e-7,3.4040312e-7,8.7061548e-7,197.21666666666667,6.68333333333332,soak,SWVfast.txt,194.83333333333334,-0.278,1.2373082e-5,1.2373082e-5,0.006,2.6799205e-7,2.6799205e-7,1.2105089949999999e-5,1.2105089949999999e-5,0.07192143830372777
100uM,PYO,transfer,SWV,47,203.85,-0.286,100,i1,1.2144817e-6,1.2144817e-6,-0.007,3.3138269e-7,3.3138269e-7,8.830990100000001e-7,197.21666666666667,6.833333333333326,soak,SWVfast.txt,194.83333333333334,-0.278,1.2373082e-5,1.2373082e-5,0.006,2.6799205e-7,2.6799205e-7,1.2105089949999999e-5,1.2105089949999999e-5,0.07295270118996515
100uM,PYO,transfer,SWV,48,203.98333333333332,-0.289,100,i1,1.2001676e-6,1.2001676e-6,0.009,3.3540644e-7,3.3540644e-7,8.647611599999999e-7,197.21666666666667,6.966666666666652,soak,SWVfast.txt,194.83333333333334,-0.278,1.2373082e-5,1.2373082e-5,0.006,2.6799205e-7,2.6799205e-7,1.2105089949999999e-5,1.2105089949999999e-5,0.07143781364466441
100uM,PYO,transfer,SWV,49,204.13333333333333,-0.29,100,i1,1.2063022e-6,1.2063022e-6,0.001,3.3835829e-7,3.3835829e-7,8.679439099999999e-7,197.21666666666667,7.116666666666657,soak,SWVfast.txt,194.83333333333334,-0.278,1.2373082e-5,1.2373082e-5,0.006,2.6799205e-7,2.6799205e-7,1.2105089949999999e-5,1.2105089949999999e-5,0.07170074023283074
100uM,PYO,transfer,SWV,5,197.8,-0.282,100,i1,1.8922372e-6,1.8922372e-6,-0.003,3.4018876e-7,3.4018876e-7,1.5520484399999999e-6,197.21666666666667,0.7833333333333428,soak,SWVfast.txt,194.83333333333334,-0.278,1.2373082e-5,1.2373082e-5,0.006,2.6799205e-7,2.6799205e-7,1.2105089949999999e-5,1.2105089949999999e-5,0.1282145317722319
100uM,PYO,transfer,SWV,50,204.28333333333333,-0.283,100,i1,1.2020146e-6,1.2020146e-6,-0.007,3.3383981e-7,3.3383981e-7,8.681747899999999e-7,197.21666666666667,7.266666666666663,soak,SWVfast.txt,194.83333333333334,-0.278,1.2373082e-5,1.2373082e-5,0.006,2.6799205e-7,2.6799205e-7,1.2105089949999999e-5,1.2105089949999999e-5,0.07171981320138807
100uM,PYO,transfer,SWV,6,197.93333333333334,-0.278,100,i1,1.7300995e-6,1.7300995e-6,0.001,3.3512609e-7,3.3512609e-7,1.39497341e-6,197.21666666666667,0.9166666666666685,soak,SWVfast.txt,194.83333333333334,-0.278,1.2373082e-5,1.2373082e-5,0.006,2.6799205e-7,2.6799205e-7,1.2105089949999999e-5,1.2105089949999999e-5,0.11523858275832145
100uM,PYO,transfer,SWV,7,198.08333333333334,-0.282,100,i1,1.6115307e-6,1.6115307e-6,0.014,3.408154e-7,3.408154e-7,1.2707153e-6,197.21666666666667,1.0666666666666742,soak,SWVfast.txt,194.83333333333334,-0.278,1.2373082e-5,1.2373082e-5,0.006,2.6799205e-7,2.6799205e-7,1.2105089949999999e-5,1.2105089949999999e-5,0.10497363549124226
100uM,PYO,transfer,SWV,8,198.23333333333332,-0.274,100,i1,1.5471835e-6,1.5471835e-6,0.005,3.3764917e-7,3.3764917e-7,1.20953433e-6,197.21666666666667,1.2166666666666515,soak,SWVfast.txt,194.83333333333334,-0.278,1.2373082e-5,1.2373082e-5,0.006,2.6799205e-7,2.6799205e-7,1.2105089949999999e-5,1.2105089949999999e-5,0.09991948304357706
100uM,PYO,transfer,SWV,9,198.36666666666667,-0.279,100,i1,1.5231399e-6,1.5231399e-6,-0,3.351096e-7,3.351096e-7,1.1880303e-6,197.21666666666667,1.3500000000000056,soak,SWVfast.txt,194.83333333333334,-0.278,1.2373082e-5,1.2373082e-5,0.006,2.6799205e-7,2.6799205e-7,1.2105089949999999e-5,1.2105089949999999e-5,0.09814303775578305
10uM,PYO,transfer,SWV,1,77.28333333333333,-0.296,10,i1,7.5224443e-7,7.5224443e-7,-0.199,4.1015923e-7,4.1015923e-7,3.420852e-7,77.28333333333333,0.2,soak,SWVfast.txt,72.4,-0.284,2.1487845e-6,2.1487845e-6,-0.007,1.4836775e-7,1.4836775e-7,2.0004167500000003e-6,2.0004167500000003e-6,0.17100696642337151
10uM,PYO,transfer,SWV,10,78.58333333333333,-0.298,10,i1,7.5362971e-7,7.5362971e-7,-0.189,4.1116516e-7,4.1116516e-7,3.4246454999999995e-7,77.28333333333333,1.4999999999999971,soak,SWVfast.txt,72.4,-0.284,2.1487845e-6,2.1487845e-6,-0.007,1.4836775e-7,1.4836775e-7,2.0004167500000003e-6,2.0004167500000003e-6,0.17119660190807734
10uM,PYO,transfer,SWV,11,80.35,-0.29,10,i1,7.4894626e-7,7.4894626e-7,-0.2,3.630945e-7,3.630945e-7,3.8585176e-7,77.28333333333333,3.266666666666663,soak,SWVfast.txt,72.4,-0.284,2.1487845e-6,2.1487845e-6,-0.007,1.4836775e-7,1.4836775e-7,2.0004167500000003e-6,2.0004167500000003e-6,0.19288568744487863
10uM,PYO,transfer,SWV,12,80.5,-0.296,10,i1,8.0170037e-7,8.0170037e-7,-0.187,3.8228978e-7,3.8228978e-7,4.1941058999999994e-7,77.28333333333333,3.4166666666666687,soak,SWVfast.txt,72.4,-0.284,2.1487845e-6,2.1487845e-6,-0.007,1.4836775e-7,1.4836775e-7,2.0004167500000003e-6,2.0004167500000003e-6,0.20966160676269074
10uM,PYO,transfer,SWV,13,80.63333333333334,-0.3,10,i1,8.0107372e-7,8.0107372e-7,-0.196,3.8852329e-7,3.8852329e-7,4.1255043e-7,77.28333333333333,3.5500000000000087,soak,SWVfast.txt,72.4,-0.284,2.1487845e-6,2.1487845e-6,-0.007,1.4836775e-7,1.4836775e-7,2.0004167500000003e-6,2.0004167500000003e-6,0.20623224135670726
10uM,PYO,transfer,SWV,14,80.78333333333333,-0.287,10,i1,7.3847457e-7,7.3847457e-7,-0.197,3.6974029e-7,3.6974029e-7,3.6873427999999996e-7,77.28333333333333,3.7,soak,SWVfast.txt,72.4,-0.284,2.1487845e-6,2.1487845e-6,-0.007,1.4836775e-7,1.4836775e-7,2.0004167500000003e-6,2.0004167500000003e-6,0.18432873050078186
10uM,PYO,transfer,SWV,15,80.93333333333334,-0.293,10,i1,7.5318439e-7,7.5318439e-7,-0.172,3.8461499e-7,3.8461499e-7,3.6856939999999997e-7,77.28333333333333,3.850000000000006,soak,SWVfast.txt,72.4,-0.284,2.1487845e-6,2.1487845e-6,-0.007,1.4836775e-7,1.4836775e-7,2.0004167500000003e-6,2.0004167500000003e-6,0.18424630767563804
10uM,PYO,transfer,SWV,16,81.06666666666666,-0.297,10,i1,7.309053e-7,7.309053e-7,-0.166,3.9472383e-7,3.9472383e-7,3.3618147e-7,77.28333333333333,3.9833333333333316,soak,SWVfast.txt,72.4,-0.284,2.1487845e-6,2.1487845e-6,-0.007,1.4836775e-7,1.4836775e-7,2.0004167500000003e-6,2.0004167500000003e-6,0.1680557163900972
10uM,PYO,transfer,SWV,17,81.21666666666667,-0.287,10,i1,7.2373183e-7,7.2373183e-7,-0.173,3.9774164e-7,3.9774164e-7,3.2599019e-7,77.28333333333333,4.133333333333337,soak,SWVfast.txt,72.4,-0.284,2.1487845e-6,2.1487845e-6,-0.007,1.4836775e-7,1.4836775e-7,2.0004167500000003e-6,2.0004167500000003e-6,0.1629611379728749
10uM,PYO,transfer,SWV,18,81.36666666666666,-0.298,10,i1,7.4825368e-7,7.4825368e-7,-0.172,3.8870471e-7,3.8870471e-7,3.5954897e-7,77.28333333333333,4.283333333333329,soak,SWVfast.txt,72.4,-0.284,2.1487845e-6,2.1487845e-6,-0.007,1.4836775e-7,1.4836775e-7,2.0004167500000003e-6,2.0004167500000003e-6,0.1797370322958953
10uM,PYO,transfer,SWV,19,81.5,-0.297,10,i1,7.486824e-7,7.486824e-7,-0.183,3.8311433e-7,3.8311433e-7,3.6556807000000005e-7,77.28333333333333,4.416666666666669,soak,SWVfast.txt,72.4,-0.284,2.1487845e-6,2.1487845e-6,-0.007,1.4836775e-7,1.4836775e-7,2.0004167500000003e-6,2.0004167500000003e-6,0.18274595531156196
10uM,PYO,transfer,SWV,2,77.43333333333334,-0.296,10,i1,7.9116273e-7,7.9116273e-7,-0.182,4.4236577e-7,4.4236577e-7,3.4879695999999993e-7,77.28333333333333,0.3500000000000057,soak,SWVfast.txt,72.4,-0.284,2.1487845e-6,2.1487845e-6,-0.007,1.4836775e-7,1.4836775e-7,2.0004167500000003e-6,2.0004167500000003e-6,0.1743621472875589
10uM,PYO,transfer,SWV,20,81.65,-0.292,10,i1,7.4198715e-7,7.4198715e-7,-0.178,3.65799e-7,3.65799e-7,3.7618815000000005e-7,77.28333333333333,4.566666666666674,soak,SWVfast.txt,72.4,-0.284,2.1487845e-6,2.1487845e-6,-0.007,1.4836775e-7,1.4836775e-7,2.0004167500000003e-6,2.0004167500000003e-6,0.1880548890624916
10uM,PYO,transfer,SWV,3,77.58333333333333,-0.297,10,i1,7.9851759e-7,7.9851759e-7,-0.183,4.146942e-7,4.146942e-7,3.8382339e-7,77.28333333333333,0.49999999999999717,soak,SWVfast.txt,72.4,-0.284,2.1487845e-6,2.1487845e-6,-0.007,1.4836775e-7,1.4836775e-7,2.0004167500000003e-6,2.0004167500000003e-6,0.19187171373165116
10uM,PYO,transfer,SWV,4,77.71666666666667,-0.292,10,i1,7.9101432e-7,7.9101432e-7,-0.188,4.326692e-7,4.326692e-7,3.5834512e-7,77.28333333333333,0.6333333333333371,soak,SWVfast.txt,72.4,-0.284,2.1487845e-6,2.1487845e-6,-0.007,1.4836775e-7,1.4836775e-7,2.0004167500000003e-6,2.0004167500000003e-6,0.17913523269588696
10uM,PYO,transfer,SWV,5,77.86666666666666,-0.298,10,i1,7.9647282e-7,7.9647282e-7,-0.177,4.2831562e-7,4.2831562e-7,3.681572e-7,77.28333333333333,0.7833333333333286,soak,SWVfast.txt,72.4,-0.284,2.1487845e-6,2.1487845e-6,-0.007,1.4836775e-7,1.4836775e-7,2.0004167500000003e-6,2.0004167500000003e-6,0.18404025061277854
