PHZadded_from_swv,treatment,reactor,run,echem_from_swv,rep,minutes_from_swv,E_from_maxs_from_swv,PHZaddedInt_from_swv,electrode_from_swv,current_from_maxs_from_swv,max_current_from_swv,E_from_mins_from_swv,current_from_mins_from_swv,min_current_from_swv,signal_from_swv,PHZadded_from_gc,echem_from_gc,minutes_from_gc,E_from_maxs_from_gc,t_from_maxs,PHZaddedInt_from_gc,electrode_from_gc,current_from_maxs_from_gc,max_current_from_gc,E_from_mins_from_gc,t_from_mins,current_from_mins_from_gc,min_current_from_gc,signal_from_gc
75uM,control,transfer,3,SWV,15,1176.0166666666667,-0.211,75,i1,1.731056e-6,1.731056e-6,-0.396,1.3185386e-6,1.3185386e-6,4.125174000000001e-7,75uM,GC,1175.7,-0.399,133.33363,75,i2,9.0485388e-9,9.0485388e-9,-0.225,75.333321,3.8570569e-9,3.8570569e-9,5.1914819000000005e-9
75uM,control,transfer,3,SWV,1,1137.1,-0.266,75,i1,2.9530738e-6,2.9530738e-6,-0.398,1.5898783e-6,1.5898783e-6,1.3631955e-6,75uM,GC,1136.7,-0.399,133.33363,75,i2,1.3910831e-7,1.3910831e-7,-0.171,57.33326,1.3070639e-8,1.3070639e-8,1.2603767099999998e-7
75uM,control,transfer,3,SWV,2,1139.9166666666667,-0.257,75,i1,2.629343e-6,2.629343e-6,-0.399,1.5429455e-6,1.5429455e-6,1.0863975000000001e-6,75uM,GC,1139.6166666666666,-0.399,133.33363,75,i2,8.790618e-8,8.790618e-8,-0.159,53.333275,1.0888044e-8,1.0888044e-8,7.7018136e-8
75uM,control,transfer,3,SWV,3,1142.6333333333334,-0.258,75,i1,2.3586629e-6,2.3586629e-6,-0.398,1.5011083e-6,1.5011083e-6,8.575546000000001e-7,75uM,GC,1142.35,-0.399,133.33363,75,i2,4.6074611e-8,4.6074611e-8,-0.186,62.333241,8.4022194e-9,8.4022194e-9,3.76723916e-8
75uM,control,transfer,3,SWV,4,1145.3333333333333,-0.256,75,i1,2.2310901e-6,2.2310901e-6,-0.396,1.4712105e-6,1.4712105e-6,7.598796000000002e-7,75uM,GC,1145.0833333333333,-0.399,133.33363,75,i2,3.6688245e-8,3.6688245e-8,-0.192,64.333237,7.7463147e-9,7.7463147e-9,2.8941930299999998e-8
75uM,control,transfer,3,SWV,5,1148.05,-0.249,75,i1,2.1085634e-6,2.1085634e-6,-0.399,1.4429947e-6,1.4429947e-6,6.655686999999998e-7,75uM,GC,1147.7666666666667,-0.399,133.33363,75,i2,2.3896385e-8,2.3896385e-8,-0.194,64.999908,6.387455e-9,6.387455e-9,1.7508930000000002e-8
75uM,control,transfer,3,SWV,6,1151.1166666666666,-0.243,75,i1,2.0436391e-6,2.0436391e-6,-0.399,1.4110026e-6,1.4110026e-6,6.326365000000001e-7,75uM,GC,1150.85,-0.399,133.33363,75,i2,2.1596364e-8,2.1596364e-8,-0.196,65.66658,6.3447185e-9,6.3447185e-9,1.52516455e-8
75uM,control,transfer,3,SWV,7,1153.85,-0.239,75,i1,1.9838765e-6,1.9838765e-6,-0.398,1.4176978e-6,1.4176978e-6,5.661787e-7,75uM,GC,1153.5666666666666,-0.399,133.33363,75,i2,1.6813795e-8,1.6813795e-8,-0.219,73.333305,5.5361604e-9,5.5361604e-9,1.12776346e-8
75uM,control,transfer,3,SWV,8,1156.6833333333334,-0.233,75,i1,1.9280221e-6,1.9280221e-6,-0.389,1.4003165e-6,1.4003165e-6,5.277056e-7,75uM,GC,1156.3166666666666,-0.399,133.33363,75,i2,1.5587936e-8,1.5587936e-8,-0.203,67.999931,5.1512927e-9,5.1512927e-9,1.04366433e-8
75uM,control,transfer,3,SWVslow,NA,1179.4333333333334,-0.256,75,i1,7.542053e-7,7.542053e-7,-0.101,6.4633923e-7,6.4633923e-7,1.0786607000000001e-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
