PHZadded_from_swv,treatment,reactor,run,echem_from_swv,rep,minutes_from_swv,E_from_maxs_from_swv,PHZaddedInt_from_swv,electrode_from_swv,current_from_maxs_from_swv,max_current_from_swv,E_from_mins_from_swv,current_from_mins_from_swv,min_current_from_swv,signal_from_swv,PHZadded_from_gc,echem_from_gc,minutes_from_gc,E_from_maxs_from_gc,t_from_maxs,PHZaddedInt_from_gc,electrode_from_gc,current_from_maxs_from_gc,max_current_from_gc,E_from_mins_from_gc,t_from_mins,current_from_mins_from_gc,min_current_from_gc,signal_from_gc
75uM,control,transfer,3,SWV,12,1142.4,-0.278,75,i1,2.4078219e-7,2.4078219e-7,-0.071,8.8786479e-8,8.8786479e-8,1.5199571100000002e-7,75uM,GC,1142.0833333333333,-0.399,133.33363,75,i2,1.5177665e-8,1.5177665e-8,-0.209,69.999947,6.499608e-9,6.499608e-9,8.678057000000002e-9
75uM,control,transfer,3,SWV,13,1145.1666666666667,-0.278,75,i1,2.3194313e-7,2.3194313e-7,-0.097,8.6939508e-8,8.6939508e-8,1.45003622e-7,75uM,GC,1144.8833333333334,-0.399,133.33363,75,i2,1.3730538e-8,1.3730538e-8,-0.211,70.666618,6.3253069e-9,6.3253069e-9,7.405231100000001e-9
75uM,control,transfer,3,SWV,14,1148,-0.265,75,i1,2.2366474e-7,2.2366474e-7,-0.084,9.1870263e-8,9.1870263e-8,1.3179447699999998e-7,75uM,GC,1147.6333333333334,-0.399,133.33363,75,i2,1.266572e-8,1.266572e-8,-0.214,71.666626,6.1947811e-9,6.1947811e-9,6.470938900000001e-9
75uM,control,transfer,3,SWV,15,1150.7666666666667,-0.268,75,i1,2.2247741e-7,2.2247741e-7,-0.092,9.21506e-8,9.21506e-8,1.3032681e-7,75uM,GC,1150.4333333333334,-0.399,133.33363,75,i2,1.2138425e-8,1.2138425e-8,-0.213,71.33329,5.8369136e-9,5.8369136e-9,6.3015114000000005e-9
75uM,control,transfer,3,SWV,1,1111.8833333333334,-0.272,75,i1,1.1313185e-6,1.1313185e-6,-0.058,9.8697448e-8,9.8697448e-8,1.032621052e-6,75uM,GC,1111.4833333333333,-0.399,133.33363,75,i2,2.4151404e-7,2.4151404e-7,-0.173,57.999924,2.4928131e-8,2.4928131e-8,2.16585909e-7
75uM,control,transfer,3,SWV,2,1114.5666666666666,-0.269,75,i1,7.7211587e-7,7.7211587e-7,-0.112,9.2430945e-8,9.2430945e-8,6.79684925e-7,75uM,GC,1114.3,-0.399,133.33363,75,i2,1.3029612e-7,1.3029612e-7,-0.181,60.66658,1.7528331e-8,1.7528331e-8,1.12767789e-7
75uM,control,transfer,3,SWV,3,1117.2833333333333,-0.27,75,i1,6.0709243e-7,6.0709243e-7,-0.056,9.4261424e-8,9.4261424e-8,5.12831006e-7,75uM,GC,1117,-0.399,133.33363,75,i2,8.9127084e-8,8.9127084e-8,-0.183,61.333244,1.4216694e-8,1.4216694e-8,7.491039e-8
75uM,control,transfer,3,SWV,4,1120.05,-0.27,75,i1,4.9508685e-7,4.9508685e-7,-0.092,9.3156544e-8,9.3156544e-8,4.0193030599999995e-7,75uM,GC,1119.75,-0.399,133.33363,75,i2,6.1866494e-8,6.1866494e-8,-0.188,62.999905,1.1784391e-8,1.1784391e-8,5.0082103e-8
75uM,control,transfer,3,SWV,5,1122.8666666666666,-0.274,75,i1,4.1169287e-7,4.1169287e-7,-0.088,9.6174361e-8,9.6174361e-8,3.15518509e-7,75uM,GC,1122.4833333333333,-0.399,133.33363,75,i2,4.6520508e-8,4.6520508e-8,-0.194,64.999908,1.0103291e-8,1.0103291e-8,3.6417217e-8
75uM,control,transfer,3,SWV,6,1125.8333333333333,-0.269,75,i1,3.5498101e-7,3.5498101e-7,-0.107,9.3090577e-8,9.3090577e-8,2.61890433e-7,75uM,GC,1125.3166666666666,-0.399,133.33363,75,i2,3.6709334e-8,3.6709334e-8,-0.198,66.333252,9.2082209e-9,9.2082209e-9,2.7501113100000004e-8
75uM,control,transfer,3,SWV,7,1128.6333333333334,-0.275,75,i1,3.1728302e-7,3.1728302e-7,-0.118,9.6669083e-8,9.6669083e-8,2.20613937e-7,75uM,GC,1128.3,-0.399,133.33363,75,i2,2.8860363e-8,2.8860363e-8,-0.201,67.33326,8.4058938e-9,8.4058938e-9,2.0454469200000003e-8
75uM,control,transfer,3,SWV,8,1131.3833333333334,-0.275,75,i1,2.9508641e-7,2.9508641e-7,-0.135,9.2661821e-8,9.2661821e-8,2.0242458899999998e-7,75uM,GC,1131.0833333333333,-0.399,133.33363,75,i2,2.4386376e-8,2.4386376e-8,-0.201,67.33326,7.7839379e-9,7.7839379e-9,1.66024381e-8
75uM,control,soak,1,SWV,0,941.1833333333333,-0.27,75,i2,3.3946317e-6,3.3946317e-6,-0.068,5.6002769e-8,5.6002769e-8,3.3386289309999997e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75uM,control,transfer,1,SWV,0,951.75,-0.267,75,i2,3.5699454e-6,3.5699454e-6,-0.005,6.9508737e-8,6.9508737e-8,3.5004366629999997e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75uM,control,transfer,1,SWV,9,977.2833333333333,-0.355,75,i2,2.0088764e-6,2.0088764e-6,-0.035,7.0514673e-8,7.0514673e-8,1.9383617269999997e-6,75uM,GC,976.9333333333333,-0.399,133.33363,75,i2,2.9271593e-8,2.9271593e-8,-0.198,66.333252,9.2782768e-9,9.2782768e-9,1.9993316200000004e-8
75uM,control,transfer,1,SWV,10,980.0666666666667,-0.354,75,i2,2.026027e-6,2.026027e-6,-0.008,6.7810177e-8,6.7810177e-8,1.958216823e-6,75uM,GC,979.7833333333333,-0.399,133.33363,75,i2,2.6450426e-8,2.6450426e-8,-0.199,66.666588,8.8495549e-9,8.8495549e-9,1.7600871099999997e-8
75uM,control,transfer,1,SWV,11,983.5166666666667,-0.351,75,i2,2.2120103e-6,2.2120103e-6,-0.028,6.9178917e-8,6.9178917e-8,2.1428313829999996e-6,75uM,GC,983.1666666666666,-0.399,133.33363,75,i2,2.2212088e-8,2.2212088e-8,-0.205,68.666603,8.9830365e-9,8.9830365e-9,1.3229051499999999e-8
75uM,control,transfer,1,SWV,12,986.2166666666667,-0.345,75,i2,2.0547375e-6,2.0547375e-6,-0.004,5.9383382e-8,5.9383382e-8,1.995354118e-6,75uM,GC,985.9666666666667,-0.399,133.33363,75,i2,2.1074179e-8,2.1074179e-8,-0.198,66.333252,7.8754825e-9,7.8754825e-9,1.3198696500000002e-8
75uM,control,transfer,1,SWV,13,988.9666666666667,-0.347,75,i2,2.0217065e-6,2.0217065e-6,-0.027,6.4149226e-8,6.4149226e-8,1.957557274e-6,75uM,GC,988.65,-0.399,133.33363,75,i2,1.8669674e-8,1.8669674e-8,-0.204,68.333267,7.5017983e-9,7.5017983e-9,1.11678757e-8
