PHZadded,treatment,reactor,run,echem_from_swv,rep,minutes_from_swv,E_from_maxs_from_swv,PHZaddedInt,electrode_from_swv,current_from_maxs_from_swv,max_current_from_swv,E_from_mins_from_swv,current_from_mins_from_swv,min_current_from_swv,signal_from_swv,echem_from_gc,minutes_from_gc,E_from_maxs_from_gc,t_from_maxs,electrode_from_gc,current_from_maxs_from_gc,max_current_from_gc,E_from_mins_from_gc,t_from_mins,current_from_mins_from_gc,min_current_from_gc,signal_from_gc
75uM,control,transfer,3,SWV,11,1189.5833333333333,-0.374,75,i2,1.0622716e-6,1.0622716e-6,-0.043,3.0526124e-7,3.0526124e-7,7.5701036e-7,GC,1189.2833333333333,-0.398,133.00031,i2,3.7004095e-9,3.7004095e-9,-0.238,79.666687,2.0699538e-9,2.0699538e-9,1.6304557e-9
75uM,control,transfer,3,SWV,12,1192.3166666666666,-0.352,75,i2,1.0678124e-6,1.0678124e-6,-0.01,3.2805153e-7,3.2805153e-7,7.3976087e-7,GC,1192.0333333333333,-0.397,132.66698,i2,3.5425645e-9,3.5425645e-9,-0.236,79.000015,2.0343267e-9,2.0343267e-9,1.5082377999999999e-9
75uM,control,transfer,3,SWV,13,1195.4,-0.362,75,i2,1.0560379e-6,1.0560379e-6,-0.061,3.1685428e-7,3.1685428e-7,7.391836199999999e-7,GC,1194.9833333333333,-0.399,133.33363,i2,3.5288248e-9,3.5288248e-9,-0.241,80.666695,2.1171636e-9,2.1171636e-9,1.4116612e-9
75uM,control,transfer,3,SWV,14,1198.0833333333333,-0.353,75,i2,1.0558235e-6,1.0558235e-6,-0.056,3.1757986e-7,3.1757986e-7,7.382436400000001e-7,GC,1197.8166666666666,-0.398,133.00031,i2,3.1996339e-9,3.1996339e-9,-0.226,75.666656,1.7841386e-9,1.7841386e-9,1.4154953e-9
75uM,control,transfer,3,SWV,15,1200.8,-0.356,75,i2,1.0454345e-6,1.0454345e-6,-0.069,3.1497433e-7,3.1497433e-7,7.3046017e-7,GC,1200.5166666666667,-0.399,133.33363,i2,3.0416292e-9,3.0416292e-9,-0.244,81.666702,1.7780677e-9,1.7780677e-9,1.2635615000000002e-9
75uM,control,transfer,3,SWV,1,1162.1166666666666,-0.37,75,i2,1.3873878e-6,1.3873878e-6,-0.052,2.4381649e-7,2.4381649e-7,1.14357131e-6,GC,1161.85,-0.39,130.33368,i2,4.0949512e-8,4.0949512e-8,-0.193,64.666573,7.0111676e-9,7.0111676e-9,3.39383444e-8
75uM,control,transfer,3,SWV,2,1164.9333333333334,-0.361,75,i2,1.3246896e-6,1.3246896e-6,-0.032,2.6903095e-7,2.6903095e-7,1.05565865e-6,GC,1164.6,-0.392,131.00034,i2,1.6605304e-8,1.6605304e-8,-0.209,69.999947,4.0624313e-9,4.0624313e-9,1.25428727e-8
75uM,control,transfer,3,SWV,3,1167.8,-0.346,75,i2,1.3020148e-6,1.3020148e-6,-0.022,2.6781061e-7,2.6781061e-7,1.0342041900000001e-6,GC,1167.3833333333334,-0.399,133.33363,i2,1.1143424e-8,1.1143424e-8,-0.223,74.666649,3.2052261e-9,3.2052261e-9,7.9381979e-9
75uM,control,transfer,3,SWV,4,1170.4666666666667,-0.356,75,i2,1.2191321e-6,1.2191321e-6,-0.072,2.9752704e-7,2.9752704e-7,9.216050600000001e-7,GC,1170.2,-0.397,132.66698,i2,8.2675395e-9,8.2675395e-9,-0.22,73.666641,2.6332763e-9,2.6332763e-9,5.6342632000000005e-9
75uM,control,transfer,3,SWV,5,1173.1166666666666,-0.346,75,i2,1.1985516e-6,1.1985516e-6,-0.031,2.8639576e-7,2.8639576e-7,9.1215584e-7,GC,1172.8666666666666,-0.396,132.33365,i2,6.4979306e-9,6.4979306e-9,-0.242,81.000031,2.565457e-9,2.565457e-9,3.9324736000000005e-9
