# DNA modified electrode Data by Edmund Tse. 
# No oxygen, PCN modified DNA with well matched (wm) or mismatched (mm) duplex DNA.
E,Current,Construct
-0.182,-1.32E-08,mm
-0.181,-1.31E-08,mm
-0.18,-1.29E-08,mm
-0.179,-1.28E-08,mm
-0.178,-1.28E-08,mm
-0.177,-1.27E-08,mm
-0.176,-1.27E-08,mm
-0.175,-1.26E-08,mm
-0.174,-1.25E-08,mm
-0.173,-1.24E-08,mm
-0.172,-1.24E-08,mm
-0.171,-1.24E-08,mm
-0.17,-1.23E-08,mm
-0.169,-1.23E-08,mm
-0.168,-1.22E-08,mm
-0.167,-1.23E-08,mm
-0.166,-1.23E-08,mm
-0.165,-1.23E-08,mm
-0.164,-1.23E-08,mm
-0.163,-1.23E-08,mm
-0.162,-1.23E-08,mm
-0.161,-1.24E-08,mm
-0.16,-1.23E-08,mm
-0.159,-1.23E-08,mm
-0.158,-1.24E-08,mm
-0.157,-1.24E-08,mm
-0.156,-1.25E-08,mm
-0.155,-1.25E-08,mm
-0.154,-1.26E-08,mm
-0.153,-1.26E-08,mm
-0.152,-1.27E-08,mm
-0.151,-1.27E-08,mm
-0.15,-1.27E-08,mm
-0.149,-1.28E-08,mm
-0.148,-1.28E-08,mm
-0.147,-1.28E-08,mm
-0.146,-1.29E-08,mm
-0.145,-1.29E-08,mm
-0.144,-1.30E-08,mm
-0.143,-1.30E-08,mm
-0.142,-1.31E-08,mm
-0.141,-1.32E-08,mm
-0.14,-1.32E-08,mm
-0.139,-1.33E-08,mm
-0.138,-1.33E-08,mm
-0.137,-1.34E-08,mm
-0.136,-1.35E-08,mm
-0.135,-1.35E-08,mm
-0.134,-1.36E-08,mm
-0.133,-1.37E-08,mm
-0.132,-1.37E-08,mm
-0.131,-1.38E-08,mm
-0.13,-1.38E-08,mm
-0.129,-1.40E-08,mm
-0.128,-1.40E-08,mm
-0.127,-1.41E-08,mm
-0.126,-1.41E-08,mm
-0.125,-1.41E-08,mm
-0.124,-1.42E-08,mm
-0.123,-1.43E-08,mm
-0.122,-1.44E-08,mm
-0.121,-1.45E-08,mm
-0.12,-1.46E-08,mm
-0.119,-1.46E-08,mm
-0.118,-1.47E-08,mm
-0.117,-1.47E-08,mm
-0.116,-1.48E-08,mm
-0.115,-1.48E-08,mm
-0.114,-1.49E-08,mm
-0.113,-1.50E-08,mm
-0.112,-1.50E-08,mm
-0.111,-1.51E-08,mm
-0.11,-1.52E-08,mm
-0.109,-1.52E-08,mm
-0.108,-1.53E-08,mm
-0.107,-1.54E-08,mm
-0.106,-1.54E-08,mm
-0.105,-1.54E-08,mm
-0.104,-1.54E-08,mm
-0.103,-1.54E-08,mm
-0.102,-1.55E-08,mm
-0.101,-1.55E-08,mm
-0.1,-1.56E-08,mm
-0.099,-1.56E-08,mm
-0.098,-1.57E-08,mm
-0.097,-1.57E-08,mm
-0.096,-1.57E-08,mm
-0.095,-1.58E-08,mm
-0.094,-1.58E-08,mm
-0.093,-1.58E-08,mm
-0.092,-1.59E-08,mm
-0.091,-1.60E-08,mm
-0.09,-1.59E-08,mm
-0.089,-1.59E-08,mm
-0.088,-1.59E-08,mm
-0.087,-1.60E-08,mm
-0.086,-1.60E-08,mm
-0.085,-1.60E-08,mm
-0.084,-1.60E-08,mm
-0.083,-1.60E-08,mm
-0.082,-1.60E-08,mm
-0.081,-1.60E-08,mm
-0.08,-1.60E-08,mm
-0.079,-1.60E-08,mm
-0.078,-1.61E-08,mm
-0.077,-1.62E-08,mm
-0.076,-1.62E-08,mm
-0.075,-1.61E-08,mm
-0.074,-1.61E-08,mm
-0.073,-1.60E-08,mm
-0.072,-1.60E-08,mm
-0.071,-1.61E-08,mm
-0.07,-1.61E-08,mm
-0.069,-1.61E-08,mm
-0.068,-1.60E-08,mm
-0.067,-1.60E-08,mm
-0.066,-1.60E-08,mm
-0.065,-1.60E-08,mm
-0.064,-1.59E-08,mm
-0.063,-1.59E-08,mm
-0.062,-1.59E-08,mm
-0.061,-1.59E-08,mm
-0.06,-1.59E-08,mm
-0.059,-1.59E-08,mm
-0.058,-1.59E-08,mm
-0.057,-1.59E-08,mm
-0.056,-1.59E-08,mm
-0.055,-1.58E-08,mm
-0.054,-1.57E-08,mm
-0.053,-1.58E-08,mm
-0.052,-1.60E-08,mm
-0.051,-1.63E-08,mm
-0.05,-1.24E-09,wm
-0.051,5.16E-09,wm
-0.052,9.90E-09,wm
-0.053,1.30E-08,wm
-0.054,1.37E-08,wm
-0.055,1.35E-08,wm
-0.056,1.32E-08,wm
-0.057,1.34E-08,wm
-0.058,1.35E-08,wm
-0.059,1.37E-08,wm
-0.06,1.39E-08,wm
-0.061,1.40E-08,wm
-0.062,1.41E-08,wm
-0.063,1.42E-08,wm
-0.064,1.43E-08,wm
-0.065,1.45E-08,wm
-0.066,1.46E-08,wm
-0.067,1.47E-08,wm
-0.068,1.48E-08,wm
-0.069,1.49E-08,wm
-0.07,1.50E-08,wm
-0.071,1.51E-08,wm
-0.072,1.51E-08,wm
-0.073,1.53E-08,wm
-0.074,1.54E-08,wm
-0.075,1.55E-08,wm
-0.076,1.56E-08,wm
-0.077,1.57E-08,wm
-0.078,1.58E-08,wm
-0.079,1.59E-08,wm
-0.08,1.60E-08,wm
-0.081,1.61E-08,wm
-0.082,1.61E-08,wm
-0.083,1.62E-08,wm
-0.084,1.63E-08,wm
-0.085,1.64E-08,wm
-0.086,1.65E-08,wm
-0.087,1.66E-08,wm
-0.088,1.67E-08,wm
-0.089,1.68E-08,wm
-0.09,1.69E-08,wm
-0.091,1.70E-08,wm
-0.092,1.71E-08,wm
-0.093,1.71E-08,wm
-0.094,1.72E-08,wm
-0.095,1.73E-08,wm
-0.096,1.74E-08,wm
-0.097,1.76E-08,wm
-0.098,1.76E-08,wm
-0.099,1.77E-08,wm
-0.1,1.78E-08,wm
-0.101,1.79E-08,wm
-0.102,1.80E-08,wm
-0.103,1.81E-08,wm
-0.104,1.82E-08,wm
-0.105,1.82E-08,wm
-0.106,1.83E-08,wm
-0.107,1.84E-08,wm
-0.108,1.85E-08,wm
-0.109,1.86E-08,wm
-0.11,1.87E-08,wm
-0.111,1.88E-08,wm
-0.112,1.88E-08,wm
-0.113,1.89E-08,wm
-0.114,1.90E-08,wm
-0.115,1.90E-08,wm
-0.116,1.92E-08,wm
-0.117,1.92E-08,wm
-0.118,1.93E-08,wm
-0.119,1.94E-08,wm
-0.12,1.94E-08,wm
-0.121,1.94E-08,wm
-0.122,1.95E-08,wm
-0.123,1.96E-08,wm
-0.124,1.97E-08,wm
-0.125,1.97E-08,wm
-0.126,1.98E-08,wm
-0.127,1.99E-08,wm
-0.128,1.99E-08,wm
-0.129,2.00E-08,wm
-0.13,2.00E-08,wm
-0.131,2.01E-08,wm
-0.132,2.01E-08,wm
-0.133,2.02E-08,wm
-0.134,2.02E-08,wm
-0.135,2.02E-08,wm
-0.136,2.03E-08,wm
-0.137,2.03E-08,wm
-0.138,2.04E-08,wm
-0.139,2.04E-08,wm
-0.14,2.04E-08,wm
-0.141,2.05E-08,wm
-0.142,2.05E-08,wm
