E,Generator,Collector
-0.284,2.32E-08,-1.45E-08
-0.285,2.32E-08,-1.46E-08
-0.286,2.33E-08,-1.48E-08
-0.287,2.34E-08,-1.48E-08
-0.288,2.35E-08,-1.49E-08
-0.289,2.36E-08,-1.50E-08
-0.29,2.37E-08,-1.51E-08
-0.291,2.37E-08,-1.52E-08
-0.292,2.38E-08,-1.53E-08
-0.293,2.40E-08,-1.53E-08
-0.294,2.41E-08,-1.54E-08
-0.295,2.41E-08,-1.54E-08
-0.296,2.42E-08,-1.55E-08
-0.297,2.42E-08,-1.57E-08
-0.298,2.42E-08,-1.57E-08
-0.299,2.43E-08,-1.58E-08
-0.3,2.44E-08,-1.58E-08
-0.301,2.45E-08,-1.59E-08
-0.302,2.46E-08,-1.59E-08
-0.303,2.46E-08,-1.59E-08
-0.304,2.47E-08,-1.60E-08
-0.305,2.47E-08,-1.61E-08
-0.306,2.47E-08,-1.62E-08
-0.307,2.48E-08,-1.62E-08
-0.308,2.48E-08,-1.63E-08
-0.309,2.48E-08,-1.63E-08
-0.31,2.50E-08,-1.63E-08
-0.311,2.50E-08,-1.63E-08
-0.312,2.51E-08,-1.64E-08
-0.313,2.50E-08,-1.64E-08
-0.314,2.51E-08,-1.65E-08
-0.315,2.51E-08,-1.65E-08
-0.316,2.52E-08,-1.66E-08
-0.317,2.51E-08,-1.67E-08
-0.318,2.52E-08,-1.67E-08
-0.319,2.52E-08,-1.67E-08
-0.32,2.53E-08,-1.67E-08
-0.321,2.53E-08,-1.68E-08
-0.322,2.54E-08,-1.68E-08
-0.323,2.54E-08,-1.68E-08
-0.324,2.55E-08,-1.68E-08
-0.325,2.56E-08,-1.68E-08
-0.326,2.56E-08,-1.69E-08
-0.327,2.56E-08,-1.69E-08
-0.328,2.57E-08,-1.69E-08
-0.329,2.57E-08,-1.70E-08
-0.33,2.57E-08,-1.70E-08
-0.331,2.57E-08,-1.70E-08
-0.332,2.58E-08,-1.71E-08
-0.333,2.58E-08,-1.71E-08
-0.334,2.59E-08,-1.72E-08
-0.335,2.60E-08,-1.72E-08
-0.336,2.60E-08,-1.72E-08
-0.337,2.61E-08,-1.72E-08
-0.338,2.61E-08,-1.72E-08
-0.339,2.61E-08,-1.73E-08
-0.34,2.61E-08,-1.73E-08
-0.341,2.62E-08,-1.73E-08
-0.342,2.62E-08,-1.73E-08
-0.343,2.62E-08,-1.73E-08
-0.344,2.62E-08,-1.73E-08
-0.345,2.62E-08,-1.73E-08
-0.346,2.63E-08,-1.73E-08
-0.347,2.63E-08,-1.73E-08
-0.348,2.64E-08,-1.73E-08
-0.349,2.65E-08,-1.74E-08
-0.35,2.65E-08,-1.74E-08
-0.351,2.66E-08,-1.74E-08
-0.352,2.66E-08,-1.74E-08
-0.353,2.66E-08,-1.74E-08
-0.354,2.66E-08,-1.75E-08
-0.355,2.66E-08,-1.75E-08
-0.356,2.67E-08,-1.75E-08
-0.357,2.67E-08,-1.76E-08
-0.358,2.68E-08,-1.76E-08
-0.359,2.68E-08,-1.76E-08
-0.36,2.69E-08,-1.77E-08
-0.361,2.69E-08,-1.77E-08
-0.362,2.70E-08,-1.77E-08
-0.363,2.71E-08,-1.77E-08
-0.364,2.71E-08,-1.77E-08
-0.365,2.71E-08,-1.77E-08
-0.366,2.71E-08,-1.77E-08
-0.367,2.71E-08,-1.78E-08
-0.368,2.72E-08,-1.78E-08
-0.369,2.72E-08,-1.78E-08
-0.37,2.73E-08,-1.78E-08
-0.371,2.74E-08,-1.78E-08
-0.372,2.75E-08,-1.78E-08
-0.373,2.76E-08,-1.78E-08
-0.374,2.76E-08,-1.78E-08
-0.375,2.76E-08,-1.78E-08
-0.376,2.76E-08,-1.78E-08
-0.377,2.77E-08,-1.78E-08
-0.378,2.77E-08,-1.79E-08
-0.379,2.79E-08,-1.79E-08
-0.38,2.80E-08,-1.79E-08
-0.381,2.81E-08,-1.79E-08
-0.382,2.81E-08,-1.80E-08
-0.383,2.81E-08,-1.80E-08
-0.384,2.82E-08,-1.80E-08
-0.385,2.82E-08,-1.81E-08
-0.386,2.82E-08,-1.81E-08
-0.387,2.83E-08,-1.81E-08
-0.388,2.83E-08,-1.81E-08
-0.389,2.85E-08,-1.82E-08
-0.39,2.85E-08,-1.82E-08
-0.391,2.86E-08,-1.82E-08
-0.392,2.86E-08,-1.82E-08
-0.393,2.87E-08,-1.82E-08
-0.394,2.88E-08,-1.82E-08
-0.395,2.89E-08,-1.82E-08
-0.396,2.90E-08,-1.83E-08
-0.397,2.90E-08,-1.83E-08
-0.398,2.91E-08,-1.83E-08
-0.399,2.91E-08,-1.83E-08
-0.4,2.91E-08,-1.83E-08
-0.401,2.92E-08,-1.83E-08
-0.402,2.93E-08,-1.83E-08
-0.403,2.94E-08,-1.83E-08
-0.404,2.95E-08,-1.83E-08
-0.405,2.95E-08,-1.83E-08
-0.406,2.96E-08,-1.83E-08
-0.407,2.96E-08,-1.84E-08
-0.408,2.97E-08,-1.84E-08
-0.409,2.97E-08,-1.84E-08
-0.41,2.99E-08,-1.84E-08
-0.411,3.00E-08,-1.85E-08
-0.412,3.01E-08,-1.85E-08
-0.413,3.01E-08,-1.86E-08
-0.414,3.01E-08,-1.86E-08
-0.415,3.02E-08,-1.86E-08
-0.416,3.02E-08,-1.86E-08
-0.417,3.04E-08,-1.87E-08
-0.418,3.05E-08,-1.87E-08
-0.419,3.05E-08,-1.87E-08
-0.42,3.05E-08,-1.87E-08
-0.421,3.06E-08,-1.87E-08
-0.422,3.07E-08,-1.87E-08
-0.423,3.08E-08,-1.87E-08
-0.424,3.09E-08,-1.88E-08
-0.425,3.10E-08,-1.88E-08
-0.426,3.10E-08,-1.88E-08
-0.427,3.10E-08,-1.88E-08
-0.428,3.11E-08,-1.88E-08
-0.429,3.12E-08,-1.88E-08
-0.43,3.13E-08,-1.88E-08
-0.431,3.14E-08,-1.88E-08
-0.432,3.15E-08,-1.88E-08
-0.433,3.15E-08,-1.89E-08
-0.434,3.15E-08,-1.89E-08
-0.435,3.16E-08,-1.89E-08
-0.436,3.17E-08,-1.90E-08
-0.437,3.18E-08,-1.90E-08
-0.438,3.19E-08,-1.91E-08
-0.439,3.20E-08,-1.91E-08
-0.44,3.20E-08,-1.91E-08
-0.441,3.20E-08,-1.91E-08
-0.442,3.21E-08,-1.92E-08
-0.443,3.22E-08,-1.92E-08
-0.444,3.23E-08,-1.92E-08
-0.445,3.24E-08,-1.92E-08
-0.446,3.25E-08,-1.92E-08
-0.447,3.25E-08,-1.92E-08
-0.448,3.25E-08,-1.92E-08
-0.449,3.26E-08,-1.92E-08
-0.45,3.27E-08,-1.93E-08
-0.451,3.28E-08,-1.93E-08
-0.452,3.29E-08,-1.93E-08
-0.453,3.30E-08,-1.93E-08
-0.454,3.30E-08,-1.93E-08
-0.455,3.30E-08,-1.93E-08
-0.456,3.31E-08,-1.93E-08
-0.457,3.32E-08,-1.93E-08
-0.458,3.33E-08,-1.94E-08
-0.459,3.34E-08,-1.94E-08
-0.46,3.35E-08,-1.94E-08
-0.461,3.35E-08,-1.95E-08
-0.462,3.35E-08,-1.95E-08
-0.463,3.36E-08,-1.96E-08
-0.464,3.37E-08,-1.96E-08
-0.465,3.39E-08,-1.96E-08
-0.466,3.40E-08,-1.96E-08
-0.467,3.40E-08,-1.97E-08
-0.468,3.40E-08,-1.97E-08
-0.469,3.41E-08,-1.97E-08
-0.47,3.41E-08,-1.97E-08
-0.471,3.43E-08,-1.97E-08
-0.472,3.44E-08,-1.98E-08
-0.473,3.44E-08,-1.98E-08
-0.474,3.45E-08,-1.98E-08
-0.475,3.45E-08,-1.98E-08
-0.476,3.46E-08,-1.98E-08
-0.477,3.47E-08,-1.99E-08
-0.478,3.48E-08,-2.00E-08
-0.479,3.49E-08,-2.00E-08
-0.48,3.50E-08,-2.01E-08
-0.481,3.50E-08,-2.01E-08
-0.482,3.51E-08,-2.01E-08
-0.483,3.52E-08,-2.02E-08
-0.484,3.53E-08,-2.02E-08
-0.485,3.54E-08,-2.02E-08
-0.486,3.54E-08,-2.02E-08
-0.487,3.55E-08,-2.03E-08
-0.488,3.56E-08,-2.03E-08
-0.489,3.57E-08,-2.03E-08
-0.49,3.58E-08,-2.03E-08
-0.491,3.59E-08,-2.04E-08
-0.492,3.59E-08,-2.04E-08
-0.493,3.60E-08,-2.05E-08
-0.494,3.61E-08,-2.06E-08
-0.495,3.63E-08,-2.06E-08
-0.496,3.64E-08,-2.07E-08
-0.497,3.64E-08,-2.07E-08
-0.498,3.65E-08,-2.07E-08
-0.499,3.65E-08,-2.07E-08
-0.5,3.66E-08,-2.08E-08
