E,Generator,Collector
-0.252,6.84E-09,-1.97E-09
-0.253,6.87E-09,-1.97E-09
-0.254,6.90E-09,-1.97E-09
-0.255,6.93E-09,-1.96E-09
-0.256,6.95E-09,-1.96E-09
-0.257,6.98E-09,-1.97E-09
-0.258,6.99E-09,-1.96E-09
-0.259,7.00E-09,-1.96E-09
-0.26,7.02E-09,-1.96E-09
-0.261,7.03E-09,-1.96E-09
-0.262,7.04E-09,-1.95E-09
-0.263,7.04E-09,-1.96E-09
-0.264,7.06E-09,-1.96E-09
-0.265,7.06E-09,-1.94E-09
-0.266,7.06E-09,-1.95E-09
-0.267,7.07E-09,-1.95E-09
-0.268,7.07E-09,-1.94E-09
-0.269,7.09E-09,-1.95E-09
-0.27,7.10E-09,-1.94E-09
-0.271,7.13E-09,-1.95E-09
-0.272,7.14E-09,-1.94E-09
-0.273,7.17E-09,-1.94E-09
-0.274,7.23E-09,-1.94E-09
-0.275,7.24E-09,-1.94E-09
-0.276,7.26E-09,-1.94E-09
-0.277,7.30E-09,-1.93E-09
-0.278,7.32E-09,-1.94E-09
-0.279,7.34E-09,-1.94E-09
-0.28,7.37E-09,-1.93E-09
-0.281,7.40E-09,-1.93E-09
-0.282,7.42E-09,-1.94E-09
-0.283,7.45E-09,-1.93E-09
-0.284,7.45E-09,-1.93E-09
-0.285,7.48E-09,-1.93E-09
-0.286,7.48E-09,-1.92E-09
-0.287,7.51E-09,-1.93E-09
-0.288,7.52E-09,-1.92E-09
-0.289,7.52E-09,-1.93E-09
-0.29,7.53E-09,-1.93E-09
-0.291,7.54E-09,-1.93E-09
-0.292,7.54E-09,-1.93E-09
-0.293,7.55E-09,-1.93E-09
-0.294,7.56E-09,-1.93E-09
-0.295,7.56E-09,-1.93E-09
-0.296,7.58E-09,-1.92E-09
-0.297,7.58E-09,-1.93E-09
-0.298,7.61E-09,-1.92E-09
-0.299,7.63E-09,-1.93E-09
-0.3,7.63E-09,-1.93E-09
-0.301,7.66E-09,-1.92E-09
-0.302,7.69E-09,-1.92E-09
-0.303,7.73E-09,-1.93E-09
-0.304,7.77E-09,-1.93E-09
