# DNA modified electrode Data by Edmund Tse. 
# The third CV cycle for electrodes with well matched (wm) or mismatched (mm) duplex DNA,
# under aerobic or anaerobic conditions, and with or without PCN covalently attached.
E,Current,Construct,Aerobic,PCN
-0.236,2.20E-08,wm,TRUE,TRUE
-0.237,2.22E-08,wm,TRUE,TRUE
-0.238,2.24E-08,wm,TRUE,TRUE
-0.239,2.26E-08,wm,TRUE,TRUE
-0.24,2.28E-08,wm,TRUE,TRUE
-0.241,2.31E-08,wm,TRUE,TRUE
-0.242,2.33E-08,wm,TRUE,TRUE
-0.243,2.36E-08,wm,TRUE,TRUE
-0.244,2.38E-08,wm,TRUE,TRUE
-0.245,2.41E-08,wm,TRUE,TRUE
-0.246,2.44E-08,wm,TRUE,TRUE
-0.247,2.46E-08,wm,TRUE,TRUE
-0.248,2.50E-08,wm,TRUE,TRUE
-0.249,2.53E-08,wm,TRUE,TRUE
-0.25,2.56E-08,wm,TRUE,TRUE
-0.251,2.59E-08,wm,TRUE,TRUE
-0.252,2.62E-08,wm,TRUE,TRUE
-0.253,2.65E-08,wm,TRUE,TRUE
-0.254,2.68E-08,wm,TRUE,TRUE
-0.255,2.72E-08,wm,TRUE,TRUE
-0.256,2.76E-08,wm,TRUE,TRUE
-0.257,2.79E-08,wm,TRUE,TRUE
-0.258,2.83E-08,wm,TRUE,TRUE
-0.259,2.86E-08,wm,TRUE,TRUE
-0.26,2.90E-08,wm,TRUE,TRUE
-0.261,2.95E-08,wm,TRUE,TRUE
-0.262,2.98E-08,wm,TRUE,TRUE
-0.263,3.03E-08,wm,TRUE,TRUE
-0.264,3.07E-08,wm,TRUE,TRUE
-0.265,3.11E-08,wm,TRUE,TRUE
-0.266,3.16E-08,wm,TRUE,TRUE
-0.267,3.20E-08,wm,TRUE,TRUE
-0.268,3.26E-08,wm,TRUE,TRUE
-0.269,3.30E-08,wm,TRUE,TRUE
-0.27,3.35E-08,wm,TRUE,TRUE
-0.271,3.41E-08,wm,TRUE,TRUE
-0.272,3.46E-08,wm,TRUE,TRUE
