treatment,run,rep,reactor,electrode_from_swv,signal_from_swv,electrode_from_gc,signal_from_gc,echem_from_swv,minutes_from_swv,exp_id
psoralen,2,4,transfer,i1,5.495796399999999e-7,i2,1.6241494600000002e-8,SWV,1126.25,1
psoralen,2,5,transfer,i1,4.5357706e-7,i2,1.0614064899999999e-8,SWV,1129.5666666666666,1
psoralen,2,6,transfer,i1,3.9203246000000003e-7,i2,7.6455311e-9,SWV,1132.2666666666667,1
psoralen,2,7,transfer,i1,3.5465866000000004e-7,i2,6.126045399999999e-9,SWV,1135,1
psoralen,2,8,transfer,i1,3.3853740000000006e-7,i2,5.9907241e-9,SWV,1137.7166666666667,1
psoralen,3,0,transfer,i1,7.0559646899999995e-6,NA,NA,SWV,1176.7333333333333,1
psoralen,3,9,transfer,i1,2.9258189e-7,i2,4.0373877e-9,SWV,1201.1166666666666,1
psoralen,3,10,transfer,i1,2.8607445000000007e-7,i2,3.5873432999999995e-9,SWV,1203.7833333333333,1
psoralen,3,11,transfer,i1,2.6754691e-7,i2,2.9431253000000005e-9,SWV,1206.4333333333334,1
psoralen,3,12,transfer,i1,2.5556874999999997e-7,i2,2.1113489000000002e-9,SWV,1209.15,1
psoralen,3,13,transfer,i1,2.5217456999999997e-7,i2,2.632893000000001e-9,SWV,1211.9,1
psoralen,3,14,transfer,i1,2.3933586000000004e-7,i2,1.9302927999999996e-9,SWV,1214.5,1
psoralen,3,15,transfer,i1,2.3132639999999996e-7,i2,2.0332299999999996e-9,SWV,1217.3,1
psoralen,3,1,transfer,i1,1.04294729e-6,i2,6.4637421e-8,SWV,1179.6,1
psoralen,3,1,transfer,i1,1.04294729e-6,i2,6.4637421e-8,SWV,1179.6,1
psoralen,3,2,transfer,i1,6.627532899999999e-7,i2,2.8995980900000003e-8,SWV,1182.3833333333334,1
psoralen,3,3,transfer,i1,5.4841523e-7,i2,1.85854272e-8,SWV,1185.05,1
psoralen,3,3,transfer,i1,5.4841523e-7,i2,1.85854272e-8,SWV,1185.05,1
psoralen,3,4,transfer,i1,4.6350659000000007e-7,i2,1.1872127900000001e-8,SWV,1187.75,1
psoralen,3,5,transfer,i1,4.0306287e-7,i2,9.9177283e-9,SWV,1190.4166666666667,1
psoralen,3,6,transfer,i1,3.4929280999999995e-7,i2,6.8989642e-9,SWV,1193.0666666666666,1
psoralen,3,7,transfer,i1,3.1831468e-7,i2,5.0899306e-9,SWV,1195.75,1
psoralen,3,7,transfer,i1,3.1831468e-7,i2,5.0899306e-9,SWV,1195.75,1
psoralen,3,8,transfer,i1,3.047707100000001e-7,i2,4.8501351e-9,SWV,1198.4833333333333,1
psoralen,1,0,soak,i2,7.157537e-6,NA,NA,SWV,929.9833333333333,1
psoralen,1,1,soak,i2,4.9461012700000005e-6,NA,NA,SWV,938.4166666666666,1
psoralen,2,0,soak,i2,4.73130111e-6,NA,NA,SWV,1111.7166666666667,1
psoralen,3,0,soak,i2,3.89688007e-6,NA,NA,SWV,1173.8666666666666,1
psoralen,1,0,transfer,i2,6.00183012e-6,NA,NA,SWV,952.2166666666667,1
psoralen,1,9,transfer,i2,9.776662430000001e-6,i2,9.830863700000002e-9,SWV,987.3833333333333,1
psoralen,1,10,transfer,i2,9.36375416e-6,i2,7.361771399999999e-9,SWV,991.1666666666666,1
