treatment,run,rep,reactor,electrode_from_swv,signal_from_swv,electrode_from_gc,signal_from_gc,echem_from_swv,minutes_from_swv,exp_id
psoralen,1,6,transfer,i2,8.1474465e-7,i2,1.1810919100000001e-8,SWV,958.8833333333333,3
psoralen,1,7,transfer,i2,8.27228102e-7,i2,9.688794399999999e-9,SWV,961.6333333333333,3
psoralen,1,8,transfer,i2,7.7818446e-7,i2,8.1564342e-9,SWV,964.35,3
psoralen,2,0,soak,i2,6.856231979999999e-6,NA,NA,SWV,1086.2666666666667,3
psoralen,2,0,transfer,i2,4.78203622e-6,NA,NA,SWV,1088.9833333333333,3
psoralen,2,9,transfer,i2,1.60110848e-6,i2,4.9007141e-9,SWV,1114.6166666666666,3
psoralen,2,10,transfer,i2,1.44868382e-6,i2,4.346018699999999e-9,SWV,1117.4333333333334,3
psoralen,2,11,transfer,i2,1.61646134e-6,i2,3.9317547e-9,SWV,1120.3,3
psoralen,2,12,transfer,i2,1.59390199e-6,i2,3.3199440999999997e-9,SWV,1123.6,3
psoralen,2,1,transfer,i2,2.24332638e-6,i2,7.432893170000001e-8,SWV,1092.0333333333333,3
psoralen,2,2,transfer,i2,1.87406435e-6,i2,2.85974842e-8,SWV,1094.7666666666667,3
psoralen,2,3,transfer,i2,1.9031870900000002e-6,i2,1.74397514e-8,SWV,1097.4833333333333,3
psoralen,2,4,transfer,i2,1.7234537000000003e-6,i2,1.21980256e-8,SWV,1100.2,3
psoralen,2,5,transfer,i2,1.7325072300000001e-6,i2,9.7626856e-9,SWV,1102.9333333333334,3
psoralen,2,6,transfer,i2,1.69263224e-6,i2,8.118011099999999e-9,SWV,1105.65,3
psoralen,2,7,transfer,i2,1.69002681e-6,i2,6.954939999999999e-9,SWV,1108.3333333333333,3
psoralen,2,8,transfer,i2,1.7945292400000001e-6,i2,6.0120215e-9,SWV,1111.0833333333333,3
psoralen,3,0,soak,i2,1.2796560999999999e-5,NA,NA,SWV,1157.5166666666667,3
psoralen,3,0,transfer,i2,1.1886911700000001e-5,NA,NA,SWV,1160.7166666666667,3
psoralen,3,0,transfer,i2,1.1886911700000001e-5,NA,NA,SWV,1160.7166666666667,3
psoralen,3,1,transfer,i2,1.3144384800000001e-5,i2,2.33632339e-8,SWV,1163.6333333333334,3
psoralen,3,2,transfer,i2,1.29647271e-5,i2,8.08162807e-9,SWV,1166.7166666666667,3
psoralen,3,3,transfer,i2,1.2981849600000002e-5,i2,4.58575852e-9,SWV,1170.8666666666666,3
psoralen,3,4,transfer,i2,1.2575693800000001e-5,i2,3.17748324e-9,SWV,1174.5333333333333,3
psoralen,3,5,transfer,i2,1.2061901500000001e-5,i2,2.90211565e-9,SWV,1177.1833333333334,3
psoralen,3,6,transfer,i2,1.1429286999999999e-5,i2,2.2911064000000005e-9,SWV,1181.8833333333334,3
psoralen,3,7,transfer,i2,1.12638426e-5,i2,2.0643124e-9,SWV,1184.5333333333333,3
psoralen,3,8,transfer,i2,1.1116145e-5,i2,2.0607665000000002e-9,SWV,1187.25,3
psoralen,4,0,soak,i2,1.26735535e-5,NA,NA,SWV,1223.7,3
psoralen,4,0,soak,i2,2.54973248e-6,NA,NA,SWVslow,1223.3,3
psoralen,4,0,transfer,i2,3.4612298e-7,NA,NA,SWVslow,1228.7833333333333,3
psoralen,4,9,transfer,i2,1.9395891000000001e-7,i2,1.4777671999999999e-9,SWVslow,1256.85,3
psoralen,4,10,transfer,i2,1.9209212e-7,i2,1.312074e-9,SWVslow,1259.8666666666666,3
psoralen,4,11,transfer,i2,1.9594564000000002e-7,i2,1.2824097000000002e-9,SWVslow,1264.4833333333333,3
psoralen,4,12,transfer,i2,1.8917683e-7,i2,1.1844355e-9,SWVslow,1267.75,3
psoralen,4,1,transfer,i2,2.7911941e-7,i2,1.31706117e-8,SWVslow,1232.1166666666666,3
psoralen,4,2,transfer,i2,2.5476679e-7,i2,7.3074077e-9,SWVslow,1235.3333333333333,3
psoralen,4,3,transfer,i2,2.3707085e-7,i2,3.7990103e-9,SWVslow,1238.5833333333333,3
psoralen,4,4,transfer,i2,2.2149344e-7,i2,3.2969669000000003e-9,SWVslow,1241.6666666666667,3
psoralen,4,5,transfer,i2,2.1205979000000001e-7,i2,2.0725848e-9,SWVslow,1244.6333333333334,3
psoralen,4,6,transfer,i2,2.0848172000000002e-7,i2,2.0906669999999996e-9,SWVslow,1247.6333333333334,3
psoralen,4,7,transfer,i2,2.0128969e-7,i2,1.6058782e-9,SWVslow,1250.65,3
psoralen,4,8,transfer,i2,1.9745504000000003e-7,i2,1.6687518000000002e-9,SWVslow,1253.8833333333334,3
blank,1,0,soak,i1,1.5203440000000002e-8,i1,8.26480855e-8,SWV.txt,984.0166666666667,blank
blank,1,0,soak,i1,1.5203440000000002e-8,i2,5.33590682e-9,SWV.txt,984.0166666666667,blank
blank,1,0,soak,i1,4.096013264e-6,i1,2.528404945e-6,SWV.txt,1147,blank
blank,1,0,soak,i1,4.096013264e-6,i2,2.2386516295e-6,SWV.txt,1147,blank
blank,1,0,soak,i1,4.60909101e-7,i1,2.87401501e-7,SWV.txt,1011.2,blank
blank,1,0,soak,i1,4.60909101e-7,i2,2.34777355e-7,SWV.txt,1011.2,blank
blank,1,0,soak,i1,5.9476359e-8,i1,5.99480756e-8,SWV.txt,989.9833333333333,blank
blank,1,0,soak,i1,5.9476359e-8,i2,2.77833349e-8,SWV.txt,989.9833333333333,blank
blank,1,0,soak,i1,5.9476359e-8,i1,5.99480756e-8,SWV.txt,989.9833333333333,blank
blank,1,0,soak,i1,5.9476359e-8,i2,2.77833349e-8,SWV.txt,989.9833333333333,blank
blank,1,0,soak,i1,1.094409724e-6,i1,6.99075856e-7,SWV.txt,1047.5333333333333,blank
blank,1,0,soak,i1,1.094409724e-6,i2,5.808236474e-7,SWV.txt,1047.5333333333333,blank
blank,1,0,soak,i1,2.1357635770000003e-6,i1,1.386450706e-6,SWV.txt,1096.1833333333334,blank
blank,1,0,soak,i1,2.1357635770000003e-6,i2,1.1175241775000002e-6,SWV.txt,1096.1833333333334,blank
blank,1,0,soak,i1,2.3325208e-7,i1,1.61987492e-7,SWV.txt,1000.6,blank
blank,1,0,soak,i1,2.3325208e-7,i2,1.19213726025e-7,SWV.txt,1000.6,blank
blank,1,0,soak,i1,3.099720042e-6,i1,1.981002811e-6,SWV.txt,1125.4666666666667,blank
blank,1,0,soak,i1,3.099720042e-6,i2,1.671363181e-6,SWV.txt,1125.4666666666667,blank
blank,1,0,soak,i2,2.0462977e-8,i1,8.26480855e-8,SWV.txt,984.0166666666667,blank
blank,1,0,soak,i2,2.0462977e-8,i2,5.33590682e-9,SWV.txt,984.0166666666667,blank
blank,1,0,soak,i2,3.286984298e-6,i1,2.528404945e-6,SWV.txt,1147,blank
blank,1,0,soak,i2,3.286984298e-6,i2,2.2386516295e-6,SWV.txt,1147,blank
blank,1,0,soak,i2,3.7344270899999997e-7,i1,2.87401501e-7,SWV.txt,1011.2,blank
blank,1,0,soak,i2,3.7344270899999997e-7,i2,2.34777355e-7,SWV.txt,1011.2,blank
blank,1,0,soak,i2,5.5817108000000004e-8,i1,5.99480756e-8,SWV.txt,989.9833333333333,blank
blank,1,0,soak,i2,5.5817108000000004e-8,i2,2.77833349e-8,SWV.txt,989.9833333333333,blank
blank,1,0,soak,i2,8.61942253e-7,i1,6.99075856e-7,SWV.txt,1047.5333333333333,blank
blank,1,0,soak,i2,8.61942253e-7,i2,5.808236474e-7,SWV.txt,1047.5333333333333,blank
blank,1,0,soak,i2,1.671583086e-6,i1,1.386450706e-6,SWV.txt,1096.1833333333334,blank
blank,1,0,soak,i2,1.671583086e-6,i2,1.1175241775000002e-6,SWV.txt,1096.1833333333334,blank
blank,1,0,soak,i2,1.97581798e-7,i1,1.61987492e-7,SWV.txt,1000.6,blank
blank,1,0,soak,i2,1.97581798e-7,i2,1.19213726025e-7,SWV.txt,1000.6,blank
blank,1,0,soak,i2,2.4837553391e-6,i1,1.981002811e-6,SWV.txt,1125.4666666666667,blank
blank,1,0,soak,i2,2.4837553391e-6,i2,1.671363181e-6,SWV.txt,1125.4666666666667,blank
